age,workclass,observation-weight,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
39.0,,,Bachelors,13.0,Never-married,Adm-clerical,Not-in-family,White,Male,2174.0,0.0,40.0,,<=50K
50.0,Self-emp-not-inc,83311.0,Bachelors,13.0,,Exec-managerial,Husband,White,Male,0.0,,,United-States,<=50K
,Private,215646.0,HS-grad,,Divorced,,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
53.0,,,11th,,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,,0.0,40.0,United-States,<=50K
,Private,338409.0,Bachelors,,,,,Black,,,0.0,40.0,Cuba,
37.0,,284582.0,,14.0,,Exec-managerial,Wife,White,Female,0.0,0.0,40.0,United-States,<=50K
49.0,Private,,,5.0,Married-spouse-absent,,Not-in-family,Black,,0.0,,,Jamaica,<=50K
52.0,Self-emp-not-inc,,HS-grad,,,,,White,Male,,0.0,45.0,United-States,>50K
,Private,,,14.0,,Prof-specialty,Not-in-family,,Female,,0.0,,United-States,
,Private,,Bachelors,13.0,Married-civ-spouse,Exec-managerial,,White,,,0.0,40.0,,
,Private,280464.0,Some-college,,,Exec-managerial,,,,,,80.0,United-States,>50K
,State-gov,,,,Married-civ-spouse,Prof-specialty,Husband,,,0.0,0.0,40.0,India,>50K
23.0,,122272.0,,,Never-married,Adm-clerical,Own-child,White,Female,0.0,0.0,30.0,United-States,<=50K
32.0,Private,205019.0,Assoc-acdm,,Never-married,Sales,Not-in-family,,,0.0,0.0,50.0,,<=50K
34.0,Private,245487.0,7th-8th,4.0,,Transport-moving,Husband,Amer-Indian-Eskimo,Male,,0.0,45.0,Mexico,<=50K
25.0,Self-emp-not-inc,176756.0,HS-grad,9.0,Never-married,Farming-fishing,Own-child,White,Male,0.0,0.0,35.0,United-States,<=50K
32.0,Private,186824.0,HS-grad,9.0,,,Unmarried,White,Male,0.0,0.0,40.0,United-States,
38.0,Private,,,7.0,Married-civ-spouse,Sales,,,Male,0.0,0.0,,,<=50K
43.0,Self-emp-not-inc,,Masters,14.0,Divorced,Exec-managerial,,White,Female,,0.0,45.0,,>50K
40.0,Private,,,16.0,,,Husband,White,,0.0,0.0,,United-States,
54.0,Private,,HS-grad,9.0,Separated,Other-service,Unmarried,Black,Female,,0.0,20.0,,
35.0,Federal-gov,76845.0,9th,5.0,Married-civ-spouse,Farming-fishing,Husband,,,0.0,0.0,40.0,United-States,<=50K
,Private,117037.0,,,,Transport-moving,Husband,White,,0.0,,,,
59.0,,109015.0,HS-grad,9.0,Divorced,Tech-support,,White,Female,0.0,0.0,,United-States,
,Local-gov,216851.0,,13.0,Married-civ-spouse,Tech-support,Husband,,Male,0.0,,40.0,,>50K
19.0,,168294.0,,9.0,Never-married,Craft-repair,Own-child,White,Male,0.0,0.0,40.0,United-States,<=50K
39.0,Private,367260.0,,9.0,Divorced,Exec-managerial,Not-in-family,White,,0.0,,80.0,,<=50K
49.0,Private,193366.0,,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
,Local-gov,190709.0,,12.0,,,Not-in-family,White,,,0.0,52.0,United-States,<=50K
