age,workclass,observation-weight,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
30.0,Private,202450.0,,9.0,Married-civ-spouse,Transport-moving,Husband,White,Male,,,65.0,United-States,>50K
40.0,,,,6.0,Divorced,,Not-in-family,White,Male,0.0,,,,<=50K
23.0,Private,,Bachelors,13.0,,Sales,Not-in-family,Black,,,,15.0,United-States,<=50K
47.0,,,HS-grad,9.0,,Adm-clerical,Wife,,Female,0.0,0.0,40.0,United-States,>50K
43.0,,191814.0,Assoc-acdm,12.0,,,Husband,White,,,0.0,50.0,United-States,>50K
58.0,,,,10.0,Married-civ-spouse,Sales,Husband,White,Male,,,40.0,,
48.0,Self-emp-not-inc,191277.0,Doctorate,,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,,60.0,United-States,>50K
37.0,Private,,Prof-school,15.0,,,Husband,White,Male,0.0,0.0,60.0,United-States,
52.0,Private,,HS-grad,,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,45.0,United-States,>50K
18.0,,218889.0,,5.0,,Other-service,Own-child,Black,,0.0,,35.0,,
24.0,,376393.0,Assoc-voc,11.0,Never-married,Sales,Not-in-family,White,,0.0,0.0,40.0,United-States,
38.0,Private,255941.0,Masters,14.0,Never-married,Exec-managerial,Not-in-family,White,,10520.0,0.0,50.0,,>50K
56.0,Private,208431.0,Some-college,,,,Not-in-family,Black,Female,0.0,,32.0,United-States,<=50K
36.0,Private,146412.0,Some-college,10.0,Divorced,Adm-clerical,Unmarried,White,Female,0.0,,40.0,,
,,181920.0,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Wife,White,Female,0.0,,45.0,United-States,>50K
59.0,,100453.0,7th-8th,,Separated,Other-service,Own-child,Black,Female,0.0,0.0,38.0,,<=50K
64.0,Local-gov,202984.0,HS-grad,,Married-civ-spouse,Craft-repair,Husband,White,,3137.0,0.0,40.0,United-States,
41.0,Private,287037.0,,,,,,White,Male,0.0,0.0,40.0,,<=50K
26.0,Self-emp-not-inc,117125.0,,5.0,Married-civ-spouse,Craft-repair,,,Male,0.0,0.0,40.0,Portugal,
22.0,Private,35663.0,HS-grad,9.0,Never-married,Other-service,Not-in-family,White,Female,,,40.0,United-States,<=50K
64.0,Self-emp-not-inc,,7th-8th,4.0,Married-civ-spouse,Craft-repair,,White,,,0.0,20.0,United-States,<=50K
37.0,Self-emp-not-inc,,HS-grad,9.0,Married-civ-spouse,,Husband,,Male,0.0,0.0,45.0,Cuba,
22.0,,200374.0,HS-grad,9.0,Never-married,Machine-op-inspct,Other-relative,White,Male,,0.0,35.0,United-States,<=50K
36.0,Local-gov,,,,Married-civ-spouse,Prof-specialty,,White,Male,0.0,,,United-States,
,Private,214689.0,Bachelors,13.0,,,Other-relative,White,,0.0,,25.0,,<=50K
47.0,,125120.0,Bachelors,13.0,Divorced,,,White,,0.0,0.0,,United-States,<=50K
40.0,Private,26892.0,Bachelors,,Married-civ-spouse,Adm-clerical,Husband,White,,0.0,,40.0,United-States,>50K
51.0,Private,173291.0,HS-grad,9.0,Divorced,Other-service,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K
39.0,Private,61178.0,Bachelors,,Divorced,Adm-clerical,Unmarried,,,0.0,0.0,40.0,,<=50K
,Private,234743.0,Some-college,10.0,,Exec-managerial,,White,Male,,0.0,24.0,United-States,<=50K
39.0,Private,,HS-grad,9.0,Married-civ-spouse,,,,Male,0.0,0.0,40.0,United-States,<=50K
29.0,Self-emp-not-inc,33798.0,,9.0,Married-civ-spouse,Transport-moving,,,Male,0.0,0.0,,United-States,<=50K
,State-gov,,Masters,,Married-civ-spouse,,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
37.0,Self-emp-not-inc,,,,,,Husband,,Male,0.0,1902.0,,United-States,>50K
49.0,Private,157272.0,HS-grad,9.0,Separated,Sales,Unmarried,,Male,0.0,,,United-States,<=50K
42.0,Local-gov,,Bachelors,,,,Unmarried,White,Male,0.0,,40.0,United-States,
38.0,Self-emp-not-inc,280169.0,,13.0,Married-civ-spouse,,Husband,White,Male,7298.0,0.0,50.0,United-States,>50K
60.0,,320376.0,7th-8th,4.0,Married-civ-spouse,,Wife,,Female,,,40.0,United-States,
35.0,Self-emp-not-inc,185621.0,,13.0,Never-married,Prof-specialty,Own-child,White,,0.0,0.0,40.0,United-States,<=50K
47.0,,,Some-college,10.0,,Adm-clerical,Unmarried,White,Female,,0.0,,,
,Private,376072.0,HS-grad,9.0,,Transport-moving,Husband,White,Male,0.0,0.0,,,<=50K
37.0,Private,191754.0,Bachelors,13.0,Married-civ-spouse,,,White,Male,0.0,,50.0,United-States,>50K
41.0,Self-emp-not-inc,66632.0,Some-college,10.0,Divorced,Craft-repair,,,Male,0.0,,40.0,,
42.0,,137232.0,HS-grad,,Divorced,Protective-serv,Unmarried,White,,,0.0,50.0,,<=50K
50.0,Private,99392.0,,10.0,Divorced,Craft-repair,Not-in-family,Black,Female,0.0,,,United-States,
36.0,,,HS-grad,,,,,White,Male,,,50.0,United-States,>50K
52.0,Self-emp-inc,,Prof-school,15.0,Married-civ-spouse,Sales,Husband,,Male,0.0,0.0,,,>50K
19.0,Private,217039.0,Some-college,,,Adm-clerical,Own-child,White,Male,0.0,,,United-States,
48.0,Private,140782.0,Masters,14.0,Married-civ-spouse,Exec-managerial,Wife,,,,1902.0,,United-States,>50K
40.0,Private,279679.0,,,Divorced,Exec-managerial,Not-in-family,White,Male,0.0,0.0,,,<=50K
51.0,Private,,,,Married-civ-spouse,,Husband,,Male,,,40.0,United-States,<=50K
