age,workclass,observation-weight,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
39.0,Private,,Bachelors,13.0,Never-married,Adm-clerical,Not-in-family,White,Male,2174.0,0.0,40.0,United-States,<=50K
50.0,Self-emp-not-inc,83311.0,Bachelors,13.0,,Exec-managerial,Husband,White,Male,0.0,0.0,,United-States,<=50K
,Private,215646.0,HS-grad,,Divorced,,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
53.0,Private,,11th,,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0.0,0.0,40.0,United-States,<=50K
,Private,338409.0,Bachelors,,,,,Black,,0.0,0.0,40.0,Cuba,<=50K
37.0,Private,284582.0,,14.0,,Exec-managerial,Wife,White,Female,0.0,0.0,40.0,United-States,<=50K
49.0,Private,,,5.0,Married-spouse-absent,,Not-in-family,Black,,0.0,0.0,,Jamaica,<=50K
52.0,Self-emp-not-inc,,HS-grad,,,,,White,Male,0.0,0.0,45.0,United-States,>50K
,Private,,,14.0,,Prof-specialty,Not-in-family,White,Female,0.0,0.0,,United-States,<=50K
,Private,,Bachelors,13.0,Married-civ-spouse,Exec-managerial,,White,,0.0,0.0,40.0,United-States,<=50K
,Private,280464.0,Some-college,,,Exec-managerial,,White,,0.0,0.0,80.0,United-States,>50K
,State-gov,,,,Married-civ-spouse,Prof-specialty,Husband,,,0.0,0.0,40.0,India,>50K
23.0,Private,122272.0,,,Never-married,Adm-clerical,Own-child,White,Female,0.0,0.0,30.0,United-States,<=50K
32.0,Private,205019.0,Assoc-acdm,,Never-married,Sales,Not-in-family,White,,0.0,0.0,50.0,United-States,<=50K
34.0,Private,245487.0,7th-8th,4.0,,Transport-moving,Husband,Amer-Indian-Eskimo,Male,0.0,0.0,45.0,Mexico,<=50K
25.0,Self-emp-not-inc,176756.0,HS-grad,9.0,Never-married,Farming-fishing,Own-child,White,Male,0.0,0.0,35.0,United-States,<=50K
32.0,Private,186824.0,HS-grad,9.0,,,Unmarried,White,Male,0.0,0.0,40.0,United-States,<=50K
38.0,Private,,,7.0,Married-civ-spouse,Sales,,White,Male,0.0,0.0,,United-States,<=50K
43.0,Self-emp-not-inc,,Masters,14.0,Divorced,Exec-managerial,,White,Female,0.0,0.0,45.0,United-States,>50K
40.0,Private,,,16.0,,,Husband,White,,0.0,0.0,,United-States,<=50K
54.0,Private,,HS-grad,9.0,Separated,Other-service,Unmarried,Black,Female,0.0,0.0,20.0,United-States,<=50K
35.0,Federal-gov,76845.0,9th,5.0,Married-civ-spouse,Farming-fishing,Husband,White,,0.0,0.0,40.0,United-States,<=50K
,Private,117037.0,,,,Transport-moving,Husband,White,,0.0,0.0,,United-States,<=50K
59.0,Private,109015.0,HS-grad,9.0,Divorced,Tech-support,,White,Female,0.0,0.0,,United-States,<=50K
,Local-gov,216851.0,,13.0,Married-civ-spouse,Tech-support,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
19.0,Private,168294.0,,9.0,Never-married,Craft-repair,Own-child,White,Male,0.0,0.0,40.0,United-States,<=50K
39.0,Private,367260.0,,9.0,Divorced,Exec-managerial,Not-in-family,White,,0.0,0.0,80.0,United-States,<=50K
49.0,Private,193366.0,,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
,Local-gov,190709.0,,12.0,,,Not-in-family,White,,0.0,0.0,52.0,United-States,<=50K
20.0,Private,266015.0,Some-college,10.0,,Sales,,White,Male,0.0,0.0,44.0,United-States,<=50K
45.0,Private,386940.0,Bachelors,,,,Own-child,White,,0.0,1408.0,40.0,United-States,<=50K
,Federal-gov,59951.0,Some-college,10.0,,Adm-clerical,,White,Male,0.0,0.0,40.0,United-States,<=50K
,Private,311512.0,Some-college,,,Other-service,Husband,Black,,0.0,0.0,15.0,United-States,<=50K
48.0,Private,242406.0,,7.0,Never-married,,Unmarried,White,Male,0.0,0.0,40.0,Puerto-Rico,<=50K
,Private,197200.0,,,Never-married,Machine-op-inspct,Own-child,White,Male,0.0,0.0,40.0,United-States,<=50K
19.0,Private,544091.0,HS-grad,9.0,Married-AF-spouse,Adm-clerical,Wife,White,Female,0.0,0.0,25.0,United-States,<=50K
48.0,Self-emp-not-inc,,,12.0,Married-civ-spouse,Prof-specialty,,White,,0.0,0.0,40.0,United-States,<=50K
31.0,Private,,9th,5.0,Married-civ-spouse,,,White,,0.0,0.0,43.0,United-States,<=50K
53.0,Self-emp-not-inc,88506.0,Bachelors,,Married-civ-spouse,Prof-specialty,,White,Male,0.0,0.0,40.0,United-States,<=50K
,Private,,Bachelors,,Married-civ-spouse,Tech-support,Husband,White,Male,0.0,0.0,,United-States,<=50K
49.0,Private,,HS-grad,,Separated,Adm-clerical,,White,Female,0.0,0.0,40.0,United-States,<=50K
25.0,Private,289980.0,HS-grad,,Never-married,Handlers-cleaners,Not-in-family,White,Male,0.0,0.0,35.0,United-States,<=50K
57.0,Federal-gov,337895.0,Bachelors,13.0,,Prof-specialty,Husband,Black,Male,0.0,0.0,40.0,United-States,>50K
53.0,Private,144361.0,HS-grad,9.0,Married-civ-spouse,Machine-op-inspct,,White,Male,0.0,0.0,,United-States,<=50K
44.0,Private,128354.0,,14.0,Divorced,Exec-managerial,Unmarried,White,Female,0.0,0.0,40.0,United-States,<=50K
41.0,State-gov,101603.0,Assoc-voc,,Married-civ-spouse,Craft-repair,,White,,0.0,0.0,,United-States,<=50K
29.0,Private,271466.0,Assoc-voc,11.0,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,0.0,43.0,United-States,<=50K
,,32275.0,,10.0,,Exec-managerial,,,Female,0.0,,40.0,,
47.0,Private,51835.0,,15.0,,Prof-specialty,Wife,White,Female,0.0,1902.0,60.0,United-States,>50K
50.0,Federal-gov,251585.0,Bachelors,13.0,,Exec-managerial,Not-in-family,White,Male,0.0,0.0,55.0,United-States,>50K
47.0,Self-emp-inc,,HS-grad,9.0,Divorced,Exec-managerial,,White,Male,0.0,0.0,60.0,United-States,<=50K
43.0,Private,237993.0,,10.0,Married-civ-spouse,,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
46.0,Private,216666.0,5th-6th,3.0,Married-civ-spouse,Machine-op-inspct,,White,Male,0.0,0.0,40.0,United-States,<=50K
35.0,Private,56352.0,Assoc-voc,11.0,,Other-service,Husband,White,Male,0.0,0.0,40.0,Puerto-Rico,<=50K
41.0,Private,147372.0,,,Married-civ-spouse,,,White,Male,0.0,0.0,,United-States,<=50K
,Private,188146.0,,9.0,,Machine-op-inspct,Husband,White,Male,5013.0,0.0,,United-States,<=50K
30.0,,59496.0,,13.0,,Sales,,White,Male,0.0,0.0,40.0,United-States,
48.0,Private,,,9.0,Married-civ-spouse,Transport-moving,Husband,White,,0.0,0.0,40.0,United-States,<=50K
42.0,Private,,Doctorate,16.0,,Prof-specialty,Husband,White,Male,0.0,0.0,,United-States,<=50K
,Private,,,,Divorced,Tech-support,Not-in-family,White,Male,0.0,0.0,58.0,United-States,<=50K
,Private,155537.0,HS-grad,9.0,Married-civ-spouse,,Husband,White,,0.0,0.0,40.0,United-States,<=50K
,Private,183175.0,Some-college,10.0,,Adm-clerical,,White,Female,0.0,0.0,40.0,United-States,<=50K
53.0,Private,169846.0,HS-grad,9.0,,Adm-clerical,Wife,White,Female,0.0,0.0,,United-States,<=50K
49.0,Self-emp-inc,,,10.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,50.0,United-States,>50K
19.0,Private,101509.0,,10.0,Never-married,Prof-specialty,,White,Male,0.0,0.0,,United-States,<=50K
,Private,309974.0,Bachelors,13.0,Separated,,,Black,Female,0.0,0.0,,United-States,<=50K
29.0,Private,,Bachelors,13.0,Married-civ-spouse,Sales,Husband,White,,0.0,0.0,70.0,United-States,>50K
,Private,211678.0,Some-college,,Never-married,Machine-op-inspct,Not-in-family,White,Male,0.0,0.0,,United-States,<=50K
79.0,Private,124744.0,Some-college,10.0,,Prof-specialty,Other-relative,White,Male,0.0,0.0,20.0,United-States,<=50K
27.0,Private,213921.0,HS-grad,9.0,Never-married,Other-service,Own-child,White,,0.0,0.0,40.0,United-States,<=50K
40.0,Private,32214.0,Assoc-acdm,12.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
,Private,,11th,,Never-married,Other-service,Own-child,White,Female,0.0,0.0,22.0,United-States,<=50K
31.0,Private,,7th-8th,,,Farming-fishing,,White,Male,0.0,0.0,,United-States,<=50K
,Private,446839.0,HS-grad,,Never-married,Sales,Not-in-family,White,Male,0.0,0.0,30.0,United-States,<=50K
,Private,,Bachelors,,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,40.0,Cuba,<=50K
46.0,Private,,HS-grad,9.0,Married-civ-spouse,Other-service,,White,Female,0.0,0.0,,United-States,<=50K
,Private,159937.0,HS-grad,9.0,Married-civ-spouse,Sales,,White,Male,0.0,0.0,48.0,United-States,<=50K
44.0,Private,343591.0,HS-grad,9.0,Divorced,Craft-repair,,White,Female,14344.0,0.0,,United-States,>50K
,Private,,,9.0,Divorced,Sales,Own-child,White,Female,0.0,0.0,35.0,United-States,<=50K
