age,workclass,observation-weight,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
64, Private,249330.894552874, 5th-6th,4, Married-civ-spouse, Handlers-cleaners, Other-relative,-1, Male,5287,0,66, United-States, <=50K
18, Local-gov,182784.6242440468, Assoc-voc,10, Widowed, Handlers-cleaners, Wife, White, Male,0,-57,25, United-States, <=50K
25, Self-emp-not-inc,102476.0, Doctorate,13, Widowed, Sales, Husband,-1, Female,27828,-493,50, United-States, >50K
44, Local-gov,511517.0, 11th,9, Never-married, Machine-op-inspct, Other-relative, White, Female,0,0,40, United-States, <=50K
36, Local-gov,292570.0, Bachelors,7, Widowed, Transport-moving, Unmarried, White, Male,0,305,40, United-States, <=50K
41, Local-gov,167893.0, 11th,10, Never-married, Exec-managerial, Not-in-family, White, Female,7288,0,64, United-States, >50K
40, Local-gov,334946.0, 11th,9, Never-married, Prof-specialty, Own-child, White, Female,0,56,40, United-States, <=50K
47, Self-emp-inc,154940.0, 11th,14, Widowed, Machine-op-inspct, Not-in-family, Black, Female,0,0,47, United-States, >50K
29, Local-gov,164040.0, Some-college,9, Never-married, Handlers-cleaners, Other-relative, White, Female,-436,0,43, United-States, <=50K
44, Federal-gov,192041.91411828814, Masters,10, Married-civ-spouse, Farming-fishing, Other-relative, White, Female,0,0,50, United-States, <=50K
23, Private,73514.0, 7th-8th,10, Widowed, Other-service, Husband, Asian-Pac-Islander, Female,0,0,30, Italy, <=50K
38, Local-gov,190765.75209440824, 11th,9, Never-married, Adm-clerical, Other-relative, White, Female,0,93,40, United-States, <=50K
59, Local-gov,160362.0, 11th,9, Never-married, Adm-clerical, Other-relative, White, Female,4982,0,40, United-States, <=50K
41, Local-gov,188246.0, 11th,9, Never-married, Adm-clerical, Other-relative, White, Female,2013,341,40, United-States, <=50K
35, Local-gov,158548.51428588666, Doctorate,11, Never-married, Adm-clerical, Other-relative, White, Female,0,-96,50, United-States, <=50K
41, Local-gov,221947.0, HS-grad,10, Never-married, Adm-clerical, Other-relative, White, Female,231,1887,50, United-States, >50K
54, State-gov,99185.0, Some-college,16, Never-married, Handlers-cleaners, Other-relative, White, Female,14559,71,50, Taiwan, >50K
35, Local-gov,112264.0, HS-grad,10, Never-married, Exec-managerial, Other-relative, White, Female,0,0,45, ?, <=50K
43, Private,343061.0, 5th-6th,4, Never-married, Sales, Other-relative, White, Female,6077,0,58, ?, <=50K
30, Local-gov,177596.0, Masters,10, Never-married, Handlers-cleaners, Unmarried, White, Male,-2013,0,36, United-States, <=50K
47, Local-gov,121124.0, 7th-8th,13, Never-married, Adm-clerical, Other-relative, White, Female,15024,0,50,-1, >50K
30, Federal-gov,423064.0, 11th,9, Separated, Transport-moving, Husband, Black, Female,0,0,35, United-States, <=50K
40, Local-gov,63079.0, 11th,11, Divorced, Other-service, Unmarried, Black, Male,0,0,40, United-States, <=50K
23, Local-gov,128281.4191721011, Assoc-voc,10, Never-married, Craft-repair, Wife, White, Female,589,0,40, India, <=50K
21, Local-gov,184421.17660434992, 11th,12, Widowed, Prof-specialty, Not-in-family, White, Female,3674,0,50, United-States, <=50K
35, Local-gov,197365.0, 11th,9, Never-married, Sales, Other-relative, White, Female,1342,0,40, United-States, <=50K
43, Local-gov,33865.0, HS-grad,12, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,0,0,48, Mexico, <=50K
38, Private,208855.08090309924, Prof-school,8, Separated, Handlers-cleaners, Not-in-family, White, Female,0,0,40, Taiwan, <=50K
59, Local-gov,131869.0, Bachelors,11,6, Machine-op-inspct, Not-in-family, White, Male,1877,0,35, United-States, <=50K
47, ?,135105.0, 7th-8th,9, Married-civ-spouse, Tech-support, Not-in-family, White, Male,-1623,548,50, United-States, <=50K
41, Local-gov,184901.9524155745, HS-grad,9, Never-married, Adm-clerical, Other-relative, White, Female,1850,0,44, United-States, <=50K
19, Local-gov,102436.17461733613, Masters,8, Widowed, Handlers-cleaners, Husband, White, Male,0,0,20, United-States, <=50K
27, Local-gov,283268.0, Bachelors,11, Widowed, Machine-op-inspct, Other-relative, White, Male,2911,0,36, United-States, <=50K
37, Local-gov,291981.0, HS-grad,9, Married-civ-spouse, Exec-managerial, Own-child, White, Male,0,0,43, United-States, <=50K
42, Local-gov,171121.01891063928, Bachelors,11, Never-married, Machine-op-inspct, Other-relative, White, Female,5588,0,50, ?, >50K
27, Local-gov,188322.5862202114, 7th-8th,13, Widowed, Prof-specialty, Not-in-family, White, Female,0,0,38,-2, <=50K
22, ?,156407.05743202256, 7th-8th,13, Widowed, Machine-op-inspct, Husband, Asian-Pac-Islander,-1,0,0,20, Poland, <=50K
33, Private,171484.9678492967, Masters,11, Never-married, Adm-clerical, Other-relative, White, Female,0,0,45, United-States, <=50K
36, Federal-gov,239982.2642287563, HS-grad,11, Never-married, Handlers-cleaners, Not-in-family, White, Female,486,499,42, United-States, >50K
33, Self-emp-inc,256529.0, 11th,8, Never-married, Exec-managerial, Husband, White, Male,0,0,80, Mexico, <=50K
39, Federal-gov,101096.0, 10th,11, Widowed, Transport-moving, Not-in-family, White, Male,0,0,65, United-States, <=50K
40, Local-gov,52498.0, 11th,9, Married-civ-spouse, Farming-fishing, Own-child, White, Male,0,0,45, United-States, <=50K
34, Private,145397.1375195708, Masters,10, Never-married, Sales, Other-relative, White, Female,0,0,50, United-States, <=50K
39, Local-gov,190203.94240027622, Masters,10, Never-married, Craft-repair, Other-relative, White, Female,0,0,47, United-States, <=50K
48, Local-gov,122066.0, 11th,9, Married-civ-spouse, Other-service, Other-relative, White, Male,0,0,35, United-States, <=50K
57, Private,167864.0, Doctorate,12, Married-civ-spouse, Machine-op-inspct, Other-relative, White, Male,5154,86,40, United-States, >50K
59, Private,380357.0, Bachelors,13, Married-civ-spouse, Farming-fishing, Not-in-family, White, Female,0,0,30, United-States, <=50K
19, Local-gov,188669.0, Masters,10, Widowed, Exec-managerial, Husband, White, Male,2288,0,25, ?, <=50K
64, Federal-gov,105748.0, 11th,9, Never-married, Sales, Other-relative, White, Female,0,0,36, ?, <=50K
48, Local-gov,330470.0, HS-grad,10, Never-married, Prof-specialty, Other-relative, White, Female,0,0,45, United-States, >50K
48, Local-gov,131309.0, HS-grad,14, Never-married, Machine-op-inspct, Other-relative, White, Female,0,856,45, ?, >50K
28, Local-gov,157759.1841840648, 11th,9, Widowed, Prof-specialty, Wife, White, Female,0,0,38, India, <=50K
36, Local-gov,156771.0, Assoc-voc,6, Never-married, Other-service, Other-relative, White, Female,0,0,40, Cuba, <=50K
33, Local-gov,247416.5271822104, Assoc-voc,12, Never-married, Machine-op-inspct, Other-relative, White, Female,4234,0,40, United-States, >50K
41, Local-gov,151092.8008689651, Assoc-voc,12, Married-civ-spouse, Prof-specialty, Unmarried, White, Male,0,0,40, United-States, <=50K
21, Local-gov,252624.70836148216, Masters,10, Widowed, Other-service, Husband, White, Female,0,130,50, United-States, <=50K
49, Local-gov,191277.0, Masters,9, Never-married, Handlers-cleaners, Other-relative, White, Female,0,65,40, United-States, <=50K
47, Federal-gov,44257.0, 7th-8th,13, Divorced,-2, Not-in-family, White, Female,0,0,60, United-States, >50K
25, Local-gov,181010.58998180227, 7th-8th,12, Widowed, Other-service, Not-in-family, White, Male,0,0,45, United-States, <=50K
49, Local-gov,149049.0, Masters,14, Married-civ-spouse, Farming-fishing, Not-in-family, White, Female,14344,0,45, ?, >50K
33, Local-gov,111985.0, HS-grad,10, Never-married, Adm-clerical, Not-in-family, White, Female,1254,0,58, United-States, <=50K
31, Self-emp-inc,101265.0, 11th,9, Married-civ-spouse, Adm-clerical, Unmarried, White, Male,1471,0,35, United-States, <=50K
43, Local-gov,117158.0, Bachelors,10, Never-married, Exec-managerial, Other-relative, White, Female,0,350,45, United-States, <=50K
64, Local-gov,295594.28048630955, Bachelors,15, Never-married, Machine-op-inspct, Other-relative,-1, Female,0,0,32, United-States, >50K
33, Local-gov,28790.0, Masters,12, Widowed, Handlers-cleaners, Not-in-family, White, Male,1417,0,40, United-States, <=50K
39, Private,83242.0, Masters,10, Never-married, Sales, Other-relative, White, Female,0,0,52, United-States, <=50K
42, Federal-gov,123075.0, Some-college,11, Never-married, ?, Other-relative, White, Female,1236,71,51, United-States, <=50K
34, Federal-gov,49469.0, 7th-8th,13, Widowed, Exec-managerial, Husband, White, Female,99999,0,19, United-States, >50K
61, Local-gov,202202.0, Bachelors,9, Divorced, Other-service, Own-child, White, Male,695,0,33, United-States, <=50K
47, Local-gov,107460.0, 11th,9, Separated, Farming-fishing, Unmarried, White, Male,0,0,37, United-States, <=50K
38, Self-emp-not-inc,252250.0, Bachelors,7, Never-married, Craft-repair, Not-in-family, White, Female,10138,0,65, Mexico, <=50K
56, Private,282483.2654359593, Masters,10, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,4364,0,40, Taiwan, >50K
54, Self-emp-not-inc,93449.0, HS-grad,14, Never-married, Machine-op-inspct, Other-relative, Asian-Pac-Islander, Female,517,0,40, Mexico, <=50K
37, Private,57711.0, Bachelors,14, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,48, United-States, <=50K
31, Federal-gov,197252.0, Assoc-acdm,4, Never-married, Handlers-cleaners, Other-relative, White, Female,0,0,40, Italy, <=50K
29, Local-gov,173858.0, Masters,8, Never-married, Adm-clerical, Wife, White, Female,0,0,40, Ecuador, <=50K
26, Local-gov,49092.0, HS-grad,9, Widowed, Adm-clerical, Other-relative, White, Female,-165,0,40, United-States, <=50K
