age,workclass,observation-weight,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
27.0, Private,177119.0,,, Divorced, Adm-clerical, Unmarried, White,,0.0,0.0,, United-States, <=50K
27.0, Private,216481.0, Bachelors,13.0, Never-married,, Not-in-family, White,,0.0,,40.0,,
25.0, Private,256263.0, Assoc-acdm,12.0,, Sales, Husband, White, Male,,,,, <=50K
46.0, Private,147640.0, 5th-6th,3.0, Married-civ-spouse, Transport-moving,, Amer-Indian-Eskimo, Male,0.0,1902.0,, United-States, <=50K
45.0,,, 11th,7.0,,, Not-in-family, White, Male,0.0,2824.0,, United-States, >50K
, Private,203697.0, Bachelors,,, Prof-specialty,, White,,,0.0,75.0, United-States,
42.0, Local-gov,226020.0,,, Separated,, Not-in-family, Black,,0.0,0.0,60.0, ?, <=50K
34.0, Private,120461.0, Some-college,,,,,,,0.0,0.0,, United-States, <=50K
60.0, Local-gov,,,11.0, Divorced, Prof-specialty, Unmarried, White, Male,0.0,0.0,40.0,,
19.0, Private,102723.0, Some-college,10.0, Never-married, Adm-clerical, Own-child, White, Female,0.0,0.0,40.0, United-States,
, Private,204596.0, Assoc-acdm,,, Adm-clerical,, White, Female,0.0,0.0,8.0, United-States, <=50K
31.0,,171871.0, Masters,14.0,, Prof-specialty,, White, Female,,0.0,46.0, United-States, <=50K
53.0,,123011.0, Masters,14.0, Married-civ-spouse,,, White, Male,0.0,,45.0, United-States, >50K
35.0,,, HS-grad,9.0, Married-civ-spouse, ?, Other-relative, White,,0.0,0.0,25.0, United-States, <=50K
51.0, Local-gov,153908.0, Masters,14.0,, Exec-managerial, Not-in-family, White, Female,,,40.0, United-States, <=50K
31.0, Federal-gov,206823.0, Bachelors,, Divorced,, Not-in-family, White, Male,0.0,0.0,50.0, United-States, >50K
37.0, Private,164898.0, Some-college,10.0,, Craft-repair, Husband,, Male,0.0,0.0,52.0, United-States, <=50K
29.0, Private,87507.0, Doctorate,16.0,,, Husband,,,0.0,,60.0, India, <=50K
68.0, ?,, HS-grad,, Married-civ-spouse, ?, Husband,, Male,1409.0,0.0,15.0,, <=50K
24.0, Private,,,9.0,, Craft-repair, Husband,,,0.0,0.0,40.0, United-States, <=50K
46.0, Private,, 11th,7.0, Separated, Machine-op-inspct, Not-in-family,,,,0.0,40.0, United-States,
, Private,126592.0, Some-college,10.0, Married-civ-spouse, Craft-repair, Husband,,,,0.0,40.0, United-States, >50K
54.0, Private,421561.0, Some-college,,, Prof-specialty, Husband, White, Male,0.0,0.0,,, >50K
21.0, Private,, Some-college,, Never-married, Craft-repair, Not-in-family, White, Male,0.0,0.0,55.0, United-States, <=50K
56.0, Private,245215.0, Doctorate,16.0, Married-civ-spouse,, Husband, White, Male,0.0,0.0,50.0,,
35.0, Self-emp-not-inc,,,,, Prof-specialty, Husband,, Male,,0.0,65.0, United-States,
46.0, Private,219611.0, Some-college,10.0,, Adm-clerical,, White,,0.0,0.0,40.0, United-States, <=50K
, Self-emp-not-inc,,,10.0, Divorced, Sales, Unmarried, White, Female,0.0,0.0,,,
20.0, Private,170800.0, Some-college,10.0, Never-married,, Own-child, White, Female,0.0,,40.0, United-States,
, Private,, HS-grad,9.0, Never-married,, Not-in-family, White, Male,0.0,1408.0,40.0, United-States,
