age,workclass,observation-weight,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
,,,0.0,13.0,0.0,,0.0,,0.0,2174.0,,40.0,0.0,0.0
,1.0,,,13.0,,,,0.0,0.0,0.0,0.0,13.0,,
,2.0,215646.0,,9.0,2.0,2.0,0.0,0.0,,,,40.0,,
,2.0,234721.0,,7.0,1.0,2.0,1.0,1.0,0.0,0.0,,40.0,0.0,0.0
,2.0,338409.0,0.0,,,3.0,,,,0.0,0.0,40.0,,0.0
,2.0,,,14.0,,,,,1.0,,0.0,40.0,0.0,0.0
,2.0,,,,3.0,4.0,,1.0,1.0,0.0,0.0,16.0,,
52.0,1.0,,,,,1.0,,0.0,,0.0,,45.0,,
,,,3.0,14.0,0.0,3.0,0.0,,1.0,14084.0,,,,1.0
42.0,2.0,159449.0,,,1.0,,1.0,,,5178.0,0.0,,,1.0
37.0,2.0,,,10.0,,1.0,1.0,,,,,,0.0,
30.0,0.0,141297.0,0.0,13.0,1.0,,,2.0,,0.0,0.0,,,
,2.0,,,13.0,,,,0.0,,,,,0.0,
32.0,2.0,205019.0,6.0,,,,,1.0,,0.0,,50.0,0.0,
,2.0,,,11.0,1.0,6.0,,,0.0,0.0,,,4.0,
,2.0,,,4.0,,,1.0,,,0.0,0.0,45.0,,0.0
,,,1.0,9.0,,8.0,3.0,0.0,0.0,,0.0,,,0.0
,,186824.0,,,0.0,,,,,0.0,0.0,40.0,,
,,,2.0,,,5.0,,0.0,,0.0,0.0,50.0,,0.0
43.0,1.0,,,14.0,2.0,1.0,,,,,,45.0,,1.0
,2.0,193524.0,,,,3.0,1.0,,0.0,,,,0.0,
54.0,2.0,,,9.0,4.0,,,1.0,1.0,,,,0.0,
35.0,,76845.0,4.0,5.0,1.0,,,1.0,,0.0,,,,
,,117037.0,,,1.0,,,0.0,0.0,0.0,2042.0,,0.0,0.0
,2.0,109015.0,1.0,9.0,2.0,,,,1.0,0.0,,,,
,,,0.0,13.0,1.0,,,0.0,0.0,0.0,0.0,40.0,0.0,
,,168294.0,1.0,,,,,,0.0,,,,,0.0
54.0,5.0,180211.0,5.0,10.0,1.0,11.0,1.0,,,0.0,0.0,60.0,6.0,
,2.0,367260.0,1.0,,,,,,,0.0,0.0,,0.0,
49.0,,193366.0,,,1.0,,,0.0,0.0,,0.0,,,0.0
,,190709.0,6.0,12.0,0.0,12.0,,0.0,0.0,,0.0,52.0,,0.0
,2.0,,,,0.0,5.0,3.0,,,0.0,,,,
45.0,2.0,386940.0,,13.0,,1.0,3.0,0.0,0.0,0.0,,,,
,,59951.0,5.0,10.0,,0.0,,0.0,0.0,,0.0,,,0.0
,0.0,,,10.0,,4.0,,1.0,,0.0,,,0.0,
48.0,2.0,,2.0,,0.0,,4.0,0.0,0.0,0.0,,40.0,7.0,
21.0,2.0,,,10.0,,,,,0.0,0.0,,40.0,0.0,
,,544091.0,,9.0,5.0,,,,,,,25.0,0.0,
,,84154.0,,10.0,,5.0,,,,,0.0,38.0,,1.0
,,265477.0,,,,,,,,,0.0,,0.0,
31.0,2.0,507875.0,,5.0,,9.0,1.0,,,0.0,0.0,,0.0,
,1.0,88506.0,,,1.0,,1.0,0.0,0.0,0.0,0.0,,0.0,
,,172987.0,0.0,13.0,,10.0,,0.0,0.0,0.0,,,,
,2.0,94638.0,1.0,,4.0,,,,,,0.0,,0.0,
25.0,,289980.0,1.0,9.0,,2.0,,0.0,0.0,0.0,0.0,,,
