age,workclass,observation-weight,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
,,,1.0,,1.0,,,,0.0,,,,,
40.0,2.0,,,,2.0,10.0,0.0,0.0,0.0,0.0,,,0.0,0.0
23.0,,240398.0,0.0,,,5.0,,1.0,0.0,,,,0.0,0.0
47.0,,,1.0,9.0,1.0,0.0,,0.0,1.0,,,,0.0,
,,191814.0,,,,5.0,1.0,0.0,,,0.0,50.0,0.0,1.0
,,34788.0,5.0,,,,,0.0,,0.0,,,0.0,1.0
,,,,,,3.0,1.0,0.0,0.0,,,60.0,0.0,1.0
37.0,,,10.0,15.0,1.0,3.0,1.0,0.0,0.0,0.0,,60.0,0.0,1.0
52.0,2.0,217663.0,1.0,9.0,1.0,,,0.0,0.0,,,45.0,0.0,
18.0,,218889.0,4.0,,0.0,4.0,,,,0.0,0.0,,,
24.0,,,9.0,11.0,,5.0,,,1.0,0.0,,40.0,0.0,0.0
38.0,2.0,255941.0,,14.0,0.0,1.0,0.0,0.0,,10520.0,,,,1.0
,,,5.0,,,,0.0,1.0,1.0,0.0,0.0,,0.0,0.0
36.0,,146412.0,,10.0,2.0,0.0,,0.0,,0.0,,,0.0,0.0
,2.0,,0.0,13.0,1.0,3.0,2.0,,1.0,,,,0.0,
59.0,,100453.0,7.0,,,,,,,0.0,,38.0,0.0,0.0
,4.0,202984.0,,9.0,,10.0,1.0,0.0,0.0,3137.0,0.0,,0.0,
41.0,,,5.0,,,7.0,0.0,0.0,,,,,,0.0
,,117125.0,,5.0,1.0,,,,0.0,,0.0,,20.0,0.0
,2.0,35663.0,,9.0,,4.0,0.0,0.0,,0.0,0.0,40.0,,
,1.0,,7.0,,1.0,10.0,,,0.0,,,,,0.0
,,,,,1.0,6.0,1.0,0.0,0.0,,,45.0,,1.0
22.0,,200374.0,,,0.0,,,,,0.0,0.0,,0.0,
36.0,,,0.0,13.0,1.0,3.0,1.0,,,,,,0.0,
,2.0,214689.0,,13.0,0.0,2.0,5.0,,,0.0,,,0.0,
,,,0.0,,2.0,10.0,0.0,0.0,,,,,,0.0
,,26892.0,,13.0,,,1.0,,,0.0,,40.0,,1.0
51.0,,,,9.0,2.0,,,,1.0,,0.0,,0.0,0.0
,2.0,,0.0,13.0,2.0,0.0,4.0,0.0,0.0,0.0,,,0.0,0.0
66.0,2.0,,5.0,10.0,,,,,0.0,,0.0,24.0,0.0,
39.0,,201410.0,1.0,9.0,1.0,,,0.0,0.0,0.0,,40.0,0.0,0.0
,1.0,33798.0,1.0,9.0,1.0,,,0.0,0.0,0.0,0.0,45.0,,
44.0,0.0,,3.0,,,,1.0,0.0,0.0,0.0,,,0.0,1.0
,1.0,,1.0,,,,1.0,0.0,0.0,,,,0.0,
49.0,2.0,157272.0,,,,,4.0,0.0,0.0,,0.0,,,
,4.0,,,,4.0,3.0,,0.0,0.0,0.0,0.0,40.0,0.0,
,,280169.0,,,1.0,,,,0.0,7298.0,,,,1.0
60.0,2.0,320376.0,,4.0,1.0,8.0,,,1.0,,,40.0,0.0,0.0
,1.0,,,13.0,0.0,,3.0,,1.0,0.0,,40.0,0.0,0.0
,,119199.0,,,,0.0,4.0,,1.0,0.0,0.0,,,
42.0,2.0,,,,,6.0,,,,,0.0,,,
37.0,2.0,191754.0,,,1.0,,1.0,0.0,0.0,0.0,,,,
,,66632.0,5.0,,2.0,,,0.0,0.0,0.0,,,0.0,
42.0,,137232.0,1.0,,,,,0.0,,0.0,,,,0.0
50.0,,99392.0,5.0,,2.0,,,1.0,,0.0,,,0.0,
36.0,2.0,35945.0,1.0,9.0,1.0,1.0,,0.0,0.0,0.0,,50.0,,
,,81436.0,10.0,15.0,1.0,5.0,1.0,,,,0.0,,0.0,
19.0,2.0,217039.0,,,,,,0.0,,,,,,
48.0,,,,14.0,,1.0,2.0,0.0,,0.0,,,,1.0
40.0,,,5.0,,2.0,,,,0.0,,0.0,45.0,,0.0
,2.0,168660.0,,,1.0,2.0,1.0,0.0,,0.0,0.0,40.0,,
31.0,2.0,,1.0,9.0,1.0,10.0,,,,0.0,,,,0.0
,,,,,,,4.0,,1.0,0.0,,25.0,,
26.0,2.0,,,9.0,,,1.0,0.0,0.0,0.0,,,0.0,
80.0,1.0,,,,,7.0,,0.0,,,,,0.0,0.0
33.0,2.0,,0.0,,,,,,,0.0,0.0,,0.0,1.0
41.0,,327723.0,,9.0,2.0,1.0,,,,0.0,,,,0.0
,,,5.0,10.0,,,1.0,0.0,0.0,,0.0,,,1.0
,,389713.0,9.0,,,,1.0,0.0,0.0,,,,0.0,1.0
26.0,,,,,,,,,,,0.0,48.0,0.0,0.0
37.0,1.0,362062.0,10.0,15.0,,3.0,,,,,,,,
,2.0,186934.0,,9.0,1.0,,1.0,,0.0,0.0,,,0.0,0.0
,2.0,,,,2.0,10.0,0.0,0.0,0.0,0.0,0.0,,,
