age,workclass,observation-weight,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
, State-gov,77516.0, Bachelors,, Never-married,, Not-in-family, White, Male,0.0,0.0,40.0,, <=50K
50.0,,,,13.0, Married-civ-spouse, Exec-managerial, Husband, White,,0.0,0.0,13.0, United-States,
38.0,,215646.0,,9.0, Divorced, Handlers-cleaners, Not-in-family,, Male,,0.0,, United-States,
53.0, Private,234721.0, 11th,, Married-civ-spouse, Handlers-cleaners, Husband, Black,,0.0,0.0,,, <=50K
28.0, Private,,,,,, Wife, Black,,0.0,0.0,40.0,, <=50K
37.0,,, Masters,14.0, Married-civ-spouse, Exec-managerial,, White,,0.0,,40.0,,
49.0, Private,,,5.0,, Other-service, Not-in-family,, Female,,0.0,16.0,,
52.0,,209642.0, HS-grad,9.0,, Exec-managerial, Husband,,,,,45.0,, >50K
31.0,,45781.0, Masters,,,, Not-in-family, White,,14084.0,,50.0, United-States,
42.0, Private,159449.0, Bachelors,13.0, Married-civ-spouse,,, White, Male,5178.0,0.0,,,
, Private,280464.0, Some-college,10.0, Married-civ-spouse,, Husband, Black,,,,80.0, United-States,
30.0,,141297.0,,13.0, Married-civ-spouse, Prof-specialty,, Asian-Pac-Islander,,,0.0,40.0,, >50K
,,,,13.0, Never-married, Adm-clerical, Own-child,, Female,0.0,0.0,, United-States,
32.0, Private,205019.0,,,,,, Black, Male,0.0,0.0,,, <=50K
, Private,,,11.0,,,, Asian-Pac-Islander, Male,0.0,0.0,40.0, ?,
, Private,, 7th-8th,4.0,, Transport-moving,, Amer-Indian-Eskimo,,0.0,0.0,45.0, Mexico, <=50K
, Self-emp-not-inc,176756.0, HS-grad,9.0, Never-married,,,,,0.0,0.0,, United-States,
32.0,,,,,, Machine-op-inspct, Unmarried, White, Male,,0.0,40.0, United-States,
38.0, Private,,,,, Sales, Husband,,,0.0,0.0,50.0, United-States,
43.0,,,,14.0,, Exec-managerial, Unmarried, White, Female,0.0,0.0,,,
,,193524.0, Doctorate,16.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,,0.0,60.0,, >50K
54.0, Private,302146.0, HS-grad,, Separated, Other-service,, Black, Female,0.0,,20.0, United-States,
35.0,,76845.0, 9th,5.0, Married-civ-spouse, Farming-fishing,, Black, Male,,0.0,40.0, United-States,
43.0, Private,117037.0, 11th,7.0,, Transport-moving, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
59.0, Private,109015.0,,, Divorced,,,, Female,0.0,0.0,,, <=50K
, Local-gov,216851.0,,13.0, Married-civ-spouse, Tech-support,, White, Male,,0.0,, United-States, >50K
