age,workclass,observation-weight,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
62.0, Self-emp-not-inc,,,4.0, Widowed,,,, Female,0.0,,66.0, United-States,
, Private,,,7.0,, Other-service,, White, Male,0.0,0.0,25.0,,
25.0, Private,,,, Never-married, Farming-fishing,, White, Male,,0.0,,,
,,,,,, Prof-specialty,, White, Male,,0.0,40.0,, <=50K
36.0, Private,292570.0, 11th,, Never-married,,, White,,,0.0,40.0,,
34.0,,, Some-college,, Married-civ-spouse, Prof-specialty, Husband, White,,,0.0,64.0,,
43.0,,,,9.0, Married-civ-spouse,,,,,,,,,
47.0, Local-gov,154940.0,,14.0, Never-married,, Not-in-family, White, Female,,0.0,, United-States, >50K
, Private,164040.0, HS-grad,, Married-civ-spouse,, Husband, White,,,0.0,40.0,, <=50K
23.0,,60331.0,,,,, Not-in-family,,,0.0,0.0,, United-States,
,,73514.0,,9.0,, Adm-clerical,,,,0.0,,, United-States,
31.0, Private,, HS-grad,,,,,, Male,0.0,,40.0,,
59.0, Private,, HS-grad,, Married-civ-spouse, Sales,, White,,0.0,0.0,60.0,, <=50K
33.0,,,,9.0,, Craft-repair,, White, Male,0.0,0.0,40.0, United-States,
35.0, Private,78247.0,,11.0, Married-civ-spouse, Craft-repair, Husband,,,0.0,,50.0, United-States,
41.0, Private,, Some-college,, Married-civ-spouse,,, White,,,0.0,50.0,, >50K
54.0,,99185.0, Doctorate,,, Prof-specialty,,,,,0.0,,, >50K
,,,,9.0, Married-civ-spouse,, Husband,, Male,,0.0,50.0,, <=50K
43.0,,,,4.0,, Farming-fishing,,, Male,4508.0,,40.0,,
30.0, Private,,,, Never-married,,,,,,,36.0,,
,,, Bachelors,,,, Husband,,,,,50.0,, >50K
30.0, Federal-gov,423064.0,,, Separated, Adm-clerical, Other-relative, Black,,0.0,0.0,, United-States, <=50K
33.0,,, HS-grad,9.0,,, Unmarried, Black,,0.0,,,,
