age,workclass,observation-weight,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
39.0,Private,77516.0,HS-grad,13.0,Never-married,Adm-clerical,Not-in-family,White,Male,2174.0,0.0,40.0,United-States,<=50K
50.0,Private,125461.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
36.0,Private,125461.0,HS-grad,9.0,Divorced,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
36.0,Private,234721.0,HS-grad,7.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
28.0,Private,125461.0,Bachelors,13.0,Married-civ-spouse,Craft-repair,Wife,Black,Female,0.0,0.0,40.0,Cuba,<=50K
37.0,Private,284582.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Wife,White,Female,0.0,0.0,40.0,United-States,<=50K
49.0,Private,160187.0,9th,5.0,Married-civ-spouse,Other-service,Not-in-family,Black,Female,0.0,0.0,16.0,Jamaica,<=50K
52.0,Private,209642.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
31.0,Private,45781.0,Masters,14.0,Never-married,Prof-specialty,Not-in-family,White,Male,14084.0,0.0,40.0,United-States,<=50K
42.0,Private,159449.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,5178.0,0.0,40.0,United-States,>50K
36.0,Private,280464.0,HS-grad,9.0,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0.0,0.0,80.0,United-States,<=50K
36.0,Private,125461.0,HS-grad,9.0,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0.0,0.0,40.0,United-States,<=50K
23.0,Private,125461.0,Bachelors,9.0,Married-civ-spouse,Craft-repair,Own-child,White,Female,0.0,0.0,40.0,United-States,<=50K
36.0,Private,125461.0,HS-grad,12.0,Never-married,Sales,Not-in-family,Black,Male,0.0,0.0,50.0,United-States,<=50K
36.0,Private,125461.0,HS-grad,4.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,45.0,United-States,<=50K
25.0,Private,125461.0,HS-grad,9.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,35.0,United-States,<=50K
36.0,Private,186824.0,HS-grad,9.0,Married-civ-spouse,Machine-op-inspct,Unmarried,White,Male,0.0,0.0,40.0,United-States,<=50K
38.0,Private,125461.0,11th,9.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
36.0,Private,125461.0,Masters,14.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,45.0,United-States,<=50K
40.0,Private,193524.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,60.0,United-States,>50K
54.0,Private,302146.0,HS-grad,9.0,Separated,Craft-repair,Husband,Black,Female,0.0,0.0,40.0,United-States,<=50K
36.0,Federal-gov,76845.0,HS-grad,9.0,Married-civ-spouse,Farming-fishing,Husband,Black,Male,0.0,0.0,40.0,United-States,<=50K
36.0,Private,117037.0,HS-grad,7.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
59.0,Private,109015.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Female,0.0,0.0,40.0,United-States,<=50K
56.0,Local-gov,125461.0,HS-grad,13.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
36.0,Private,168294.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Own-child,White,Male,0.0,0.0,40.0,United-States,<=50K
39.0,Private,125461.0,HS-grad,9.0,Divorced,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
49.0,Private,193366.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
36.0,Private,190709.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
36.0,Private,125461.0,Some-college,10.0,Never-married,Craft-repair,Own-child,Black,Male,0.0,0.0,40.0,United-States,<=50K
45.0,Private,386940.0,HS-grad,9.0,Divorced,Craft-repair,Own-child,White,Male,0.0,0.0,40.0,United-States,<=50K
36.0,Federal-gov,125461.0,Some-college,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
22.0,Private,311512.0,HS-grad,9.0,Married-civ-spouse,Other-service,Husband,Black,Male,0.0,0.0,40.0,United-States,<=50K
48.0,Private,125461.0,11th,7.0,Never-married,Machine-op-inspct,Husband,White,Male,0.0,0.0,40.0,Puerto-Rico,<=50K
36.0,Private,125461.0,HS-grad,10.0,Married-civ-spouse,Machine-op-inspct,Own-child,White,Male,0.0,0.0,40.0,United-States,<=50K
36.0,Private,544091.0,HS-grad,9.0,Married-civ-spouse,Adm-clerical,Wife,White,Female,0.0,0.0,40.0,United-States,<=50K
48.0,Private,265477.0,HS-grad,12.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
31.0,Private,507875.0,HS-grad,5.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
53.0,Private,125461.0,Bachelors,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
24.0,Private,125461.0,Bachelors,13.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,50.0,United-States,<=50K
36.0,Private,94638.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
36.0,Private,289980.0,HS-grad,9.0,Never-married,Handlers-cleaners,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
57.0,Private,337895.0,Bachelors,9.0,Married-civ-spouse,Craft-repair,Husband,Black,Male,0.0,0.0,40.0,United-States,<=50K
53.0,Private,144361.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,38.0,United-States,<=50K
36.0,Private,125461.0,HS-grad,14.0,Divorced,Exec-managerial,Unmarried,White,Male,0.0,0.0,40.0,United-States,<=50K
41.0,State-gov,101603.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
36.0,Private,271466.0,HS-grad,11.0,Never-married,Craft-repair,Husband,White,Male,0.0,0.0,43.0,United-States,<=50K
25.0,Private,125461.0,Some-college,9.0,Married-civ-spouse,Exec-managerial,Wife,White,Male,0.0,0.0,40.0,United-States,<=50K
47.0,Private,51835.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Female,0.0,1902.0,60.0,United-States,>50K
