age,workclass,observation-weight,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
39,0,77516.0,0,13,0,0,0,0,0,2174,0,40,0,0
50,1,83311.0,0,13,1,1,1,0,0,0,0,13,0,0
38,2,215646.0,1,9,2,2,0,0,0,0,0,40,0,0
53,2,234721.0,2,7,1,2,1,1,0,0,0,40,0,0
28,2,338409.0,0,13,1,3,2,1,1,0,0,40,1,0
37,2,284582.0,3,14,1,1,2,0,1,0,0,40,0,0
49,2,160187.0,4,5,3,4,0,1,1,0,0,16,2,0
52,1,209642.0,1,9,1,1,1,0,0,0,0,45,0,1
31,2,45781.0,3,14,0,3,0,0,1,14084,0,50,0,1
42,2,159449.0,0,13,1,1,1,0,0,5178,0,40,0,1
37,2,280464.0,5,10,1,1,1,1,0,0,0,80,0,1
30,0,141297.0,0,13,1,3,1,2,0,0,0,40,3,1
23,2,122272.0,0,13,0,0,3,0,1,0,0,30,0,0
32,2,205019.0,6,12,0,5,0,1,0,0,0,50,0,0
40,2,121772.0,7,11,1,6,1,2,0,0,0,40,4,1
34,2,245487.0,8,4,1,7,1,3,0,0,0,45,5,0
25,1,176756.0,1,9,0,8,3,0,0,0,0,35,0,0
32,2,186824.0,1,9,0,9,4,0,0,0,0,40,0,0
38,2,28887.0,2,7,1,5,1,0,0,0,0,50,0,0
43,1,292175.0,3,14,2,1,4,0,1,0,0,45,0,1
40,2,193524.0,9,16,1,3,1,0,0,0,0,60,0,1
54,2,302146.0,1,9,4,4,4,1,1,0,0,20,0,0
35,3,76845.0,4,5,1,8,1,1,0,0,0,40,0,0
43,2,117037.0,2,7,1,7,1,0,0,0,2042,40,0,0
59,2,109015.0,1,9,2,10,4,0,1,0,0,40,0,0
56,4,216851.0,0,13,1,10,1,0,0,0,0,40,0,1
19,2,168294.0,1,9,0,6,3,0,0,0,0,40,0,0
54,5,180211.0,5,10,1,11,1,2,0,0,0,60,6,1
39,2,367260.0,1,9,2,1,0,0,0,0,0,80,0,0
