Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
600.0,160.0,RM,24.0,1950.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Blueste,Norm,Norm,Twnhs,2Story,6.0,6.0,1980.0,1980.0,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,,CBlock,Gd,TA,No,LwQ,81.0,GLQ,612.0,23.0,716.0,GasA,TA,Y,SBrkr,716.0,840.0,0.0,1556.0,1.0,0.0,,1.0,3.0,,TA,6.0,Typ,1.0,TA,Attchd,,Fin,2.0,452.0,TA,TA,Y,161.0,0.0,0.0,0.0,0.0,0.0,,7.0,2008.0,COD,Normal,
252.0,120.0,RM,44.0,4750.0,Pave,IR1,HLS,AllPub,,Mod,Crawfor,Norm,Norm,TwnhsE,1Story,8.0,5.0,,2007.0,Hip,CompShg,VinylSd,VinylSd,Stone,481.0,,,PConc,Gd,TA,Gd,,1573.0,Unf,0.0,0.0,1573.0,GasA,Ex,Y,SBrkr,,0.0,0.0,,1.0,1.0,2.0,,2.0,1.0,Gd,5.0,Typ,1.0,Gd,Attchd,2006.0,Fin,2.0,538.0,TA,TA,Y,123.0,0.0,0.0,0.0,153.0,0.0,0.0,12.0,2007.0,WD,Family,235000.0
,60.0,RL,65.0,10237.0,Pave,Reg,Lvl,,Inside,Gtl,Gilbert,RRAn,Norm,1Fam,2Story,6.0,5.0,,2007.0,Gable,,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,783.0,783.0,GasA,Ex,Y,SBrkr,783.0,701.0,0.0,1484.0,0.0,0.0,2.0,1.0,3.0,,Gd,8.0,Typ,1.0,,Attchd,2005.0,Fin,2.0,393.0,TA,TA,Y,0.0,72.0,0.0,0.0,,0.0,0.0,7.0,2007.0,New,Partial,178900.0
463.0,20.0,RL,60.0,8281.0,Pave,,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,,1Fam,1Story,5.0,5.0,1965.0,1965.0,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,No,,553.0,BLQ,311.0,0.0,864.0,GasA,Gd,Y,SBrkr,,0.0,0.0,864.0,0.0,0.0,1.0,0.0,3.0,1.0,TA,5.0,Typ,1.0,Po,Detchd,1965.0,Unf,1.0,360.0,TA,TA,,0.0,0.0,236.0,0.0,0.0,,,12.0,2009.0,WD,Normal,62383.0
982.0,60.0,RL,98.0,12203.0,Pave,IR1,Lvl,AllPub,,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8.0,5.0,1998.0,1999.0,Hip,CompShg,VinylSd,VinylSd,,975.0,Gd,TA,PConc,Gd,,,GLQ,854.0,Unf,0.0,371.0,,GasA,Ex,Y,SBrkr,1276.0,1336.0,0.0,2612.0,,0.0,2.0,1.0,4.0,1.0,Gd,8.0,Typ,1.0,TA,Attchd,1998.0,Fin,,676.0,TA,TA,Y,250.0,0.0,0.0,0.0,0.0,0.0,0.0,,2009.0,WD,Normal,336000.0
,60.0,FV,84.0,10728.0,,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,8.0,5.0,2006.0,2006.0,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,,Gd,TA,Mn,Unf,0.0,,0.0,1095.0,1095.0,GasA,Gd,Y,SBrkr,1095.0,844.0,0.0,1939.0,0.0,,2.0,1.0,3.0,1.0,Gd,,Typ,,Gd,Attchd,2006.0,RFn,3.0,1053.0,TA,,Y,,,,0.0,0.0,0.0,0.0,8.0,2006.0,New,Partial,266000.0
1274.0,80.0,RL,124.0,11512.0,Pave,IR1,Lvl,AllPub,Corner,Gtl,Edwards,,Norm,1Fam,SLvl,6.0,7.0,1959.0,2006.0,Gable,CompShg,Plywood,Plywood,BrkFace,84.0,TA,TA,CBlock,TA,TA,Av,ALQ,,Unf,,300.0,1019.0,GasA,Gd,Y,SBrkr,1357.0,0.0,0.0,1357.0,1.0,0.0,1.0,0.0,2.0,1.0,Ex,5.0,Typ,1.0,Gd,Basment,1959.0,RFn,1.0,312.0,TA,TA,Y,0.0,0.0,0.0,,163.0,0.0,0.0,5.0,,WD,Normal,177000.0
28.0,20.0,RL,98.0,11478.0,Pave,,Lvl,,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,,5.0,2007.0,2008.0,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,Gd,TA,,Ex,TA,No,GLQ,1218.0,Unf,0.0,,1704.0,GasA,Ex,Y,SBrkr,1704.0,0.0,0.0,,1.0,0.0,2.0,0.0,3.0,1.0,Gd,,Typ,,Gd,Attchd,2008.0,RFn,3.0,772.0,TA,,Y,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,2010.0,WD,Normal,306000.0
139.0,60.0,RL,73.0,9066.0,Pave,IR1,Lvl,,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,8.0,5.0,,2000.0,Gable,CompShg,VinylSd,VinylSd,BrkFace,,Gd,,PConc,Gd,TA,,GLQ,668.0,Unf,,336.0,1004.0,GasA,Ex,,SBrkr,1004.0,848.0,,1852.0,,0.0,2.0,1.0,3.0,1.0,Gd,7.0,Typ,2.0,TA,Attchd,1999.0,Fin,3.0,660.0,TA,TA,Y,224.0,106.0,0.0,0.0,0.0,,0.0,12.0,2008.0,WD,Normal,230000.0
1243.0,85.0,,85.0,10625.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,SFoyer,,6.0,1974.0,1974.0,,,Plywood,Plywood,BrkFace,81.0,TA,TA,,Gd,TA,Gd,GLQ,885.0,LwQ,168.0,0.0,1053.0,GasA,TA,Y,SBrkr,1173.0,0.0,0.0,1173.0,1.0,0.0,2.0,0.0,3.0,1.0,Gd,6.0,Typ,2.0,TA,Attchd,1974.0,RFn,2.0,528.0,,TA,Y,0.0,120.0,,,0.0,0.0,0.0,1.0,2010.0,WD,,170000.0
