Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
2.0,20.0,RL,80.0,9600.0,Pave,Reg,Lvl,AllPub,FR2,Gtl,Veenker,,Norm,1Fam,1Story,6.0,,,1976.0,Gable,CompShg,,,,0.0,,TA,,,TA,,,,Unf,0.0,,1262.0,GasA,Ex,Y,SBrkr,1262.0,,0.0,1262.0,0.0,1.0,2.0,,,1.0,,,Typ,1.0,,,1976.0,RFn,2.0,460.0,TA,TA,Y,298.0,,0.0,0.0,0.0,0.0,0.0,5.0,2007.0,WD,Normal,
3.0,60.0,RL,68.0,11250.0,Pave,,Lvl,AllPub,Inside,Gtl,,Norm,Norm,1Fam,,,,,2002.0,,CompShg,VinylSd,,BrkFace,162.0,Gd,TA,PConc,,TA,Mn,GLQ,486.0,Unf,0.0,,,GasA,Ex,Y,SBrkr,920.0,,0.0,1786.0,,0.0,2.0,1.0,,1.0,Gd,,Typ,1.0,TA,,,,,608.0,TA,TA,Y,,42.0,0.0,0.0,0.0,0.0,0.0,9.0,2008.0,WD,Normal,223500.0
,70.0,RL,60.0,9550.0,Pave,IR1,Lvl,AllPub,Corner,Gtl,,Norm,Norm,1Fam,2Story,,,1915.0,1970.0,Gable,CompShg,Wd Sdng,,None,,TA,TA,,TA,Gd,,ALQ,,Unf,0.0,540.0,756.0,GasA,,Y,SBrkr,961.0,756.0,0.0,1717.0,1.0,0.0,1.0,0.0,3.0,1.0,Gd,7.0,Typ,1.0,Gd,Detchd,,Unf,3.0,642.0,TA,TA,Y,0.0,35.0,0.0,0.0,0.0,0.0,0.0,2.0,2006.0,WD,Abnorml,140000.0
,60.0,RL,84.0,,Pave,,Lvl,AllPub,,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8.0,,2000.0,2000.0,,CompShg,VinylSd,VinylSd,BrkFace,350.0,Gd,TA,PConc,Gd,TA,Av,GLQ,655.0,Unf,0.0,490.0,,GasA,Ex,Y,SBrkr,1145.0,1053.0,0.0,,1.0,0.0,,1.0,4.0,1.0,,9.0,Typ,1.0,TA,,,,,,TA,TA,Y,,84.0,0.0,0.0,0.0,0.0,0.0,12.0,2008.0,,Normal,250000.0
7.0,,RL,,10084.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,,8.0,5.0,2004.0,,Gable,CompShg,VinylSd,VinylSd,,186.0,Gd,TA,,Ex,TA,Av,GLQ,,Unf,0.0,317.0,,GasA,Ex,Y,SBrkr,1694.0,,0.0,1694.0,1.0,0.0,2.0,0.0,3.0,1.0,Gd,7.0,Typ,1.0,,Attchd,,RFn,2.0,,TA,TA,Y,255.0,57.0,0.0,0.0,0.0,0.0,0.0,8.0,,WD,Normal,
,50.0,RM,51.0,,Pave,Reg,Lvl,AllPub,Inside,Gtl,,Artery,Norm,1Fam,,7.0,5.0,,1950.0,Gable,CompShg,BrkFace,Wd Shng,,0.0,,TA,BrkTil,TA,TA,,Unf,0.0,Unf,0.0,952.0,,GasA,,Y,FuseF,1022.0,,0.0,1774.0,0.0,0.0,,,,1.0,TA,8.0,Typ,2.0,TA,Detchd,1931.0,Unf,,468.0,TA,TA,Y,90.0,,0.0,0.0,0.0,0.0,0.0,4.0,2008.0,WD,Abnorml,129900.0
,190.0,RL,50.0,7420.0,Pave,,Lvl,AllPub,,Gtl,,Artery,Artery,2fmCon,1.5Unf,,,1939.0,1950.0,Gable,CompShg,MetalSd,,None,0.0,,TA,BrkTil,TA,TA,No,GLQ,851.0,Unf,0.0,,991.0,GasA,,Y,SBrkr,,0.0,0.0,1077.0,1.0,0.0,,,2.0,2.0,TA,5.0,Typ,1.0,TA,Attchd,1939.0,,1.0,205.0,TA,TA,Y,,4.0,0.0,0.0,0.0,0.0,0.0,1.0,,WD,Normal,
12.0,60.0,RL,85.0,11924.0,Pave,IR1,Lvl,AllPub,,Gtl,,Norm,Norm,1Fam,2Story,,,,,Hip,CompShg,,Wd Shng,Stone,286.0,,TA,PConc,,TA,,GLQ,998.0,Unf,0.0,177.0,,GasA,Ex,Y,SBrkr,,,0.0,2324.0,,0.0,3.0,0.0,4.0,1.0,Ex,,Typ,1.0,Gd,BuiltIn,2005.0,,3.0,,TA,TA,Y,,21.0,0.0,0.0,0.0,0.0,0.0,7.0,2006.0,New,Partial,
,,RL,,10652.0,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,,7.0,5.0,2006.0,2007.0,Gable,CompShg,VinylSd,,,306.0,Gd,TA,PConc,,TA,Av,Unf,0.0,Unf,0.0,1494.0,1494.0,GasA,Ex,Y,SBrkr,,,0.0,1494.0,,0.0,2.0,0.0,,1.0,,,Typ,1.0,,Attchd,,RFn,,,TA,TA,Y,160.0,33.0,0.0,0.0,0.0,0.0,0.0,8.0,2007.0,New,,
21.0,60.0,RL,,14215.0,Pave,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8.0,,2005.0,,,CompShg,VinylSd,VinylSd,,380.0,Gd,TA,PConc,,TA,Av,Unf,,Unf,0.0,1158.0,,GasA,Ex,Y,SBrkr,1158.0,,0.0,2376.0,,0.0,3.0,1.0,,1.0,,9.0,Typ,1.0,Gd,BuiltIn,2005.0,,3.0,853.0,TA,TA,Y,240.0,154.0,0.0,0.0,0.0,0.0,0.0,11.0,2006.0,New,,325300.0
