Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
2.0,20.0,RL,80.0,9600.0,,Reg,,,FR2,Gtl,Veenker,,,,1Story,6.0,,,1976.0,Gable,,,,,0.0,,TA,,,TA,,,,,,,1262.0,,Ex,Y,SBrkr,1262.0,,,1262.0,0.0,1.0,2.0,,,1.0,,,Typ,1.0,,,1976.0,RFn,2.0,460.0,TA,TA,Y,298.0,,,0.0,0.0,0.0,,5.0,2007.0,WD,Normal,
3.0,60.0,,68.0,11250.0,,,,AllPub,Inside,Gtl,,Norm,,1Fam,,,,,2002.0,,,VinylSd,,BrkFace,162.0,Gd,,PConc,,TA,Mn,GLQ,486.0,,0.0,,,GasA,Ex,Y,SBrkr,920.0,,0.0,1786.0,,,2.0,1.0,,1.0,Gd,,,1.0,TA,,,,,608.0,TA,TA,,,42.0,0.0,0.0,,0.0,0.0,9.0,2008.0,WD,Normal,223500.0
,70.0,RL,60.0,9550.0,Pave,IR1,Lvl,,Corner,Gtl,,,,1Fam,2Story,,,1915.0,1970.0,Gable,CompShg,Wd Sdng,,None,,TA,TA,,TA,Gd,,ALQ,,,,540.0,756.0,GasA,,Y,SBrkr,961.0,756.0,0.0,1717.0,1.0,0.0,1.0,0.0,3.0,,Gd,7.0,Typ,,Gd,Detchd,,Unf,3.0,642.0,TA,TA,Y,0.0,35.0,,,,0.0,0.0,2.0,2006.0,WD,Abnorml,140000.0
,60.0,RL,84.0,,,,Lvl,,,,NoRidge,Norm,,1Fam,2Story,8.0,,2000.0,2000.0,,,VinylSd,VinylSd,BrkFace,350.0,Gd,,PConc,Gd,TA,Av,GLQ,655.0,,,490.0,,GasA,Ex,Y,,1145.0,1053.0,0.0,,1.0,0.0,,1.0,4.0,,,9.0,Typ,1.0,TA,,,,,,TA,TA,Y,,84.0,0.0,0.0,0.0,0.0,0.0,12.0,2008.0,,Normal,250000.0
7.0,,RL,,10084.0,Pave,Reg,,,Inside,,Somerst,Norm,Norm,1Fam,,8.0,5.0,2004.0,,Gable,,VinylSd,VinylSd,,186.0,Gd,,,Ex,TA,Av,GLQ,,Unf,0.0,317.0,,GasA,Ex,Y,SBrkr,1694.0,,,1694.0,1.0,0.0,2.0,0.0,3.0,1.0,Gd,7.0,,1.0,,Attchd,,RFn,2.0,,,TA,,255.0,57.0,0.0,0.0,,0.0,0.0,8.0,,WD,Normal,
,50.0,RM,51.0,,Pave,Reg,,,Inside,Gtl,,Artery,Norm,1Fam,,7.0,5.0,,1950.0,Gable,,BrkFace,Wd Shng,,0.0,,,BrkTil,TA,TA,,Unf,0.0,Unf,0.0,952.0,,GasA,,Y,FuseF,1022.0,,,1774.0,0.0,0.0,,,,,TA,8.0,,2.0,TA,Detchd,1931.0,Unf,,468.0,,,Y,90.0,,,0.0,0.0,0.0,0.0,4.0,2008.0,WD,Abnorml,129900.0
,190.0,RL,50.0,7420.0,,,Lvl,,,,,Artery,Artery,2fmCon,1.5Unf,,,1939.0,1950.0,Gable,CompShg,MetalSd,,None,0.0,,TA,BrkTil,TA,,No,GLQ,851.0,Unf,,,991.0,GasA,,,SBrkr,,0.0,0.0,1077.0,1.0,0.0,,,2.0,2.0,TA,5.0,,,TA,Attchd,1939.0,,1.0,205.0,,,Y,,4.0,0.0,0.0,,,,1.0,,WD,Normal,
12.0,60.0,,85.0,11924.0,Pave,IR1,Lvl,AllPub,,,,Norm,Norm,1Fam,2Story,,,,,Hip,,,Wd Shng,Stone,286.0,,,PConc,,TA,,GLQ,998.0,Unf,0.0,177.0,,,Ex,,SBrkr,,,,2324.0,,0.0,3.0,0.0,4.0,1.0,Ex,,Typ,,Gd,BuiltIn,2005.0,,3.0,,TA,TA,,,21.0,,,,0.0,0.0,7.0,2006.0,New,Partial,
,,,,10652.0,Pave,IR1,,,Inside,,CollgCr,Norm,Norm,1Fam,,7.0,5.0,2006.0,2007.0,Gable,CompShg,VinylSd,,,306.0,Gd,,PConc,,,Av,Unf,0.0,Unf,0.0,1494.0,1494.0,GasA,Ex,Y,,,,0.0,1494.0,,0.0,2.0,0.0,,,,,Typ,,,Attchd,,RFn,,,,TA,Y,160.0,33.0,,,0.0,0.0,,8.0,2007.0,New,,
21.0,60.0,RL,,14215.0,Pave,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,,1Fam,2Story,8.0,,2005.0,,,,VinylSd,VinylSd,,380.0,Gd,TA,PConc,,TA,Av,Unf,,Unf,0.0,1158.0,,GasA,Ex,Y,,1158.0,,0.0,2376.0,,,3.0,1.0,,,,9.0,Typ,1.0,Gd,BuiltIn,2005.0,,3.0,853.0,TA,,Y,240.0,154.0,0.0,,0.0,0.0,,11.0,2006.0,New,,325300.0
,45.0,,57.0,7449.0,,Reg,Bnk,AllPub,Inside,,,,Norm,1Fam,,7.0,7.0,1930.0,1950.0,Gable,CompShg,,,None,0.0,TA,TA,PConc,TA,TA,,,,,0.0,,637.0,,Ex,Y,,,0.0,,,0.0,0.0,1.0,,3.0,1.0,,6.0,Typ,,,Attchd,,Unf,,,TA,TA,,,,,0.0,0.0,0.0,,6.0,,WD,Normal,139400.0
23.0,,RL,,,Pave,Reg,Lvl,,,Gtl,,,,1Fam,,8.0,5.0,2002.0,2002.0,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,,TA,PConc,,TA,No,Unf,0.0,Unf,0.0,1777.0,1777.0,,Ex,,SBrkr,1795.0,,0.0,,0.0,,2.0,,3.0,1.0,Gd,7.0,,1.0,Gd,,,RFn,,,TA,TA,,,159.0,0.0,0.0,,0.0,0.0,9.0,2008.0,WD,Normal,230000.0
24.0,,RM,,4224.0,,Reg,,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5.0,7.0,1976.0,,,CompShg,,,,0.0,,TA,PConc,Gd,,No,,,Unf,0.0,200.0,1040.0,,TA,Y,,,,0.0,,1.0,0.0,,0.0,,1.0,,6.0,Typ,1.0,TA,Attchd,,Unf,,,TA,TA,Y,100.0,110.0,0.0,,,,,,2007.0,WD,,
26.0,20.0,RL,,14230.0,Pave,Reg,Lvl,AllPub,,Gtl,,,,,,8.0,,2007.0,,Gable,CompShg,,,Stone,640.0,,TA,PConc,,TA,,,0.0,Unf,,1566.0,,,,Y,SBrkr,,0.0,0.0,1600.0,,0.0,,,,,Gd,7.0,Typ,,Gd,,2007.0,RFn,3.0,890.0,,TA,,0.0,56.0,,0.0,0.0,0.0,0.0,,2009.0,,,
28.0,,,,,Pave,,Lvl,AllPub,,Gtl,,Norm,Norm,,1Story,8.0,5.0,,2008.0,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,Gd,TA,PConc,Ex,,No,GLQ,1218.0,Unf,0.0,486.0,1704.0,GasA,Ex,,SBrkr,,,0.0,,1.0,0.0,,,3.0,,Gd,7.0,Typ,1.0,Gd,,2008.0,,,,,,Y,,50.0,0.0,,,0.0,0.0,5.0,2010.0,WD,Normal,306000.0
29.0,20.0,RL,47.0,,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,,,Norm,1Fam,,5.0,6.0,1957.0,1997.0,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,,,TA,TA,Gd,BLQ,1277.0,Unf,0.0,,1484.0,,TA,Y,,,,,1600.0,1.0,0.0,,0.0,,1.0,,,Typ,2.0,Gd,,1957.0,RFn,1.0,,TA,TA,Y,,258.0,,0.0,,0.0,,12.0,2006.0,WD,,
34.0,20.0,RL,,10552.0,Pave,,Lvl,,Inside,Gtl,NAmes,Norm,,,1Story,5.0,5.0,1959.0,1959.0,Hip,CompShg,BrkFace,BrkFace,None,0.0,,TA,,,TA,No,Rec,1018.0,Unf,,,1398.0,GasA,Gd,,,1700.0,,0.0,1700.0,0.0,,1.0,,4.0,1.0,,,,1.0,Gd,Attchd,,,,447.0,TA,,,0.0,,0.0,,0.0,0.0,0.0,4.0,2010.0,WD,,
,120.0,,60.0,7313.0,,Reg,Lvl,,Inside,Gtl,,,,,1Story,,5.0,,2005.0,,,MetalSd,MetalSd,BrkFace,246.0,Ex,TA,PConc,Ex,TA,No,GLQ,,Unf,0.0,408.0,,,Ex,Y,SBrkr,,0.0,,1561.0,,,2.0,0.0,2.0,,,6.0,,,,,2005.0,,,556.0,,,,,47.0,0.0,,,0.0,0.0,8.0,2007.0,WD,,
36.0,60.0,RL,108.0,,,Reg,Lvl,AllPub,Inside,Gtl,,Norm,,1Fam,,,,,,Gable,,,VinylSd,Stone,132.0,Gd,TA,,,TA,,Unf,,Unf,0.0,1117.0,1117.0,GasA,Ex,Y,SBrkr,,,0.0,,0.0,0.0,,,4.0,,Gd,,Typ,1.0,Gd,,2004.0,Fin,,691.0,,,,,32.0,0.0,,0.0,0.0,0.0,9.0,,WD,Normal,
,20.0,RL,74.0,8532.0,,Reg,Lvl,,Inside,Gtl,,,Norm,1Fam,,5.0,6.0,1954.0,,,CompShg,Wd Sdng,Wd Sdng,BrkFace,650.0,TA,TA,,TA,TA,,Rec,,,,84.0,,GasA,Gd,Y,,1297.0,0.0,0.0,,0.0,1.0,1.0,0.0,,,TA,5.0,,,,,1954.0,Fin,2.0,,,TA,Y,,,,0.0,0.0,0.0,0.0,10.0,2009.0,,,
,,,,,Pave,,Lvl,,Inside,,NAmes,,,1Fam,1Story,6.0,,1965.0,,Gable,CompShg,Wd Sdng,Wd Sdng,,101.0,TA,TA,,TA,TA,No,,,Unf,,445.0,,,,Y,,,,0.0,1324.0,0.0,,2.0,,3.0,1.0,TA,6.0,Typ,1.0,TA,Attchd,1965.0,,2.0,440.0,TA,,Y,0.0,138.0,0.0,,0.0,,0.0,12.0,2006.0,WD,,160000.0
42.0,,RL,115.0,,Pave,Reg,Lvl,AllPub,,,,,Norm,1Fam,,,6.0,1959.0,,Gable,CompShg,,,None,0.0,TA,,CBlock,TA,,,BLQ,,Unf,0.0,383.0,1350.0,GasA,,Y,,1328.0,0.0,,,,1.0,,1.0,,1.0,TA,,,,,,,,,308.0,TA,TA,,0.0,,0.0,,,,,7.0,,WD,Normal,
46.0,,,61.0,,Pave,Reg,Lvl,AllPub,Inside,,NridgHt,Norm,,TwnhsE,1Story,,5.0,,2005.0,,,MetalSd,,BrkFace,,,,,Ex,TA,,,,Unf,0.0,1296.0,1752.0,GasA,Ex,Y,,,,,,,0.0,,0.0,,1.0,Ex,6.0,,1.0,Gd,Attchd,2005.0,RFn,2.0,576.0,,,Y,,82.0,0.0,0.0,,0.0,0.0,2.0,2010.0,WD,,319900.0
47.0,,,48.0,12822.0,Pave,,,AllPub,CulDSac,,Mitchel,,Norm,1Fam,1.5Fin,7.0,5.0,,2003.0,Gable,CompShg,VinylSd,VinylSd,None,0.0,,TA,PConc,Ex,TA,,GLQ,1351.0,Unf,,83.0,1434.0,GasA,,Y,,,631.0,0.0,,1.0,,1.0,,,1.0,,6.0,,1.0,,Attchd,2003.0,,,670.0,TA,TA,,,,0.0,0.0,,,0.0,,2009.0,WD,Abnorml,239686.0
52.0,50.0,,,6240.0,,,,AllPub,Inside,Gtl,,,Norm,1Fam,1.5Fin,6.0,6.0,1934.0,1950.0,Gable,,,,None,,,,PConc,,TA,No,Unf,0.0,Unf,,,,,TA,Y,SBrkr,,,,1176.0,0.0,0.0,1.0,0.0,3.0,,TA,6.0,Typ,1.0,Gd,Detchd,,,2.0,,TA,,Y,112.0,0.0,0.0,0.0,,,,,2006.0,,Normal,114500.0
54.0,20.0,RL,,50271.0,Pave,IR1,Low,AllPub,Inside,Gtl,,Norm,,,1Story,,,,,Gable,WdShngl,WdShing,,,0.0,,TA,CBlock,Ex,TA,Gd,,1810.0,Unf,0.0,,1842.0,,Gd,,,1842.0,0.0,0.0,1842.0,,0.0,0.0,1.0,,1.0,Gd,5.0,Typ,1.0,Gd,,,Fin,3.0,894.0,TA,TA,Y,857.0,72.0,0.0,,0.0,0.0,,,2006.0,WD,,385000.0
,80.0,,,7134.0,,Reg,Bnk,,,Mod,,,Norm,1Fam,SLvl,5.0,,1955.0,1955.0,,CompShg,MetalSd,,None,,TA,TA,CBlock,TA,,,ALQ,384.0,Unf,0.0,0.0,,GasA,TA,Y,,1360.0,0.0,,1360.0,0.0,0.0,1.0,0.0,3.0,1.0,TA,6.0,Min1,,,,,,2.0,572.0,TA,TA,Y,0.0,50.0,,0.0,0.0,0.0,,2.0,,WD,Normal,130000.0
,20.0,,100.0,10175.0,Pave,,Lvl,,Inside,,NAmes,Norm,Norm,,,6.0,5.0,1964.0,1964.0,Gable,,HdBoard,Plywood,,272.0,TA,,,TA,TA,No,,490.0,,,935.0,1425.0,GasA,,Y,,1425.0,0.0,0.0,1425.0,0.0,0.0,2.0,0.0,,1.0,,7.0,,,Gd,,,RFn,2.0,,TA,TA,,,0.0,,407.0,,,0.0,7.0,2008.0,WD,Normal,180500.0
