credit.policy,purpose,int.rate,installment,log.annual.inc,dti,fico,days.with.cr.line,revol.bal,revol.util,inq.last.6mths,delinq.2yrs,pub.rec,not.fully.paid
0.0,debt_consolidation,0.1513,451.48,11.26446411,29.28,717.0,3330.0,61057.0,80.7,3.0,0.0,0.0,0.0
1.0,major_purchase,0.1537,871.16,11.9251416,23.85,677.0,6419.958333,40741.0,50.3,3.0,0.0,0.0,1.0
1.0,credit_card,0.1357,,11.30220443,0.81,752.0,4770.0,981.0,1.1,7.0,1.0,0.0,1.0
1.0,all_other,0.1284,188.27,10.30895266,2.08,687.0,4139.958333,3859.0,38.6,3.0,,0.0,1.0
1.0,debt_consolidation,,519.68,11.40756495,24.99,687.0,3509.958333,53896.0,,,0.0,0.0,0.0
1.0,debt_consolidation,,538.14,10.91508846,17.93,717.0,4110.041667,24953.0,94.5,0.0,0.0,0.0,0.0
1.0,educational,0.0894,57.19,10.53209621,21.54,742.0,3179.958333,2940.0,32.3,,0.0,,0.0
0.0,debt_consolidation,0.1197,199.2,10.77895629,15.38,677.0,4229.958333,4956.0,40.0,4.0,0.0,0.0,0.0
0.0,all_other,0.1475,103.63,10.57131693,5.23,652.0,1800.0,2060.0,12.7,0.0,4.0,0.0,0.0
1.0,all_other,0.1099,180.05,,17.42,697.0,5700.041667,723.0,16.4,0.0,,0.0,0.0
1.0,debt_consolidation,,662.68,11.33857208,14.67,747.0,6240.041667,8156.0,22.0,2.0,0.0,0.0,0.0
0.0,all_other,0.1126,,11.21182037,17.94,717.0,4290.0,260.0,7.6,4.0,0.0,1.0,
1.0,all_other,0.0774,109.27,10.34817337,5.73,767.0,2220.0,1092.0,9.9,0.0,,0.0,0.0
1.0,debt_consolidation,0.0932,415.31,11.40756495,8.51,782.0,4230.0,9957.0,29.6,0.0,0.0,0.0,0.0
0.0,debt_consolidation,,332.6,12.50617724,7.33,682.0,5009.958333,107007.0,29.8,5.0,0.0,0.0,1.0
1.0,debt_consolidation,0.1218,807.53,11.57988293,,742.0,9360.0,,,0.0,0.0,0.0,0.0
1.0,debt_consolidation,0.1461,330.97,10.6454249,,672.0,3240.0,10565.0,80.7,0.0,0.0,0.0,0.0
1.0,credit_card,,256.96,11.21182037,11.46,772.0,6419.958333,23891.0,19.3,0.0,0.0,0.0,0.0
1.0,debt_consolidation,0.1114,433.01,11.09741002,8.6,737.0,5162.0,26850.0,58.1,1.0,0.0,0.0,0.0
1.0,debt_consolidation,0.1461,,10.59663473,16.89,687.0,2250.0,21668.0,87.4,0.0,0.0,0.0,0.0
1.0,all_other,0.1209,199.55,11.3224427,18.06,682.0,3030.041667,23958.0,,,0.0,0.0,
1.0,debt_consolidation,,188.02,10.18490001,12.14,762.0,2040.041667,1491.0,5.5,0.0,0.0,0.0,0.0
0.0,educational,0.1261,67.02,11.9511804,17.69,,4410.0,32135.0,91.1,11.0,0.0,,0.0
0.0,debt_consolidation,0.16,175.79,11.26070062,22.9,,3810.0,,26.8,5.0,0.0,1.0,0.0
1.0,credit_card,0.0859,189.67,10.18111929,10.14,742.0,5430.0,6435.0,19.0,0.0,0.0,0.0,0.0
1.0,home_improvement,0.0743,124.3,11.04292184,5.82,772.0,5430.0,773.0,,0.0,0.0,0.0,0.0
0.0,all_other,0.1418,51.4,10.37972173,16.36,642.0,7920.041667,0.0,0.0,0.0,,0.0,0.0
1.0,debt_consolidation,0.1284,537.89,,,702.0,,,70.2,2.0,0.0,1.0,0.0
1.0,debt_consolidation,0.1287,311.11,10.22034,18.97,687.0,2550.0,9666.0,83.3,0.0,0.0,0.0,0.0
1.0,debt_consolidation,0.16,215.34,11.1123882,16.25,667.0,4859.958333,5636.0,49.9,2.0,1.0,0.0,0.0
1.0,major_purchase,,137.14,9.392661929,,707.0,1290.041667,1088.0,51.8,1.0,0.0,0.0,0.0
1.0,debt_consolidation,,95.85,12.32385568,11.77,732.0,6029.958333,12176.0,36.1,1.0,0.0,0.0,0.0
1.0,educational,0.1347,508.84,11.05089001,12.93,712.0,6553.0,18231.0,97.0,,0.0,0.0,0.0
1.0,small_business,0.1853,538.98,11.00209984,1.58,717.0,3390.0,8476.0,66.7,1.0,0.0,0.0,1.0
1.0,credit_card,0.1039,132.24,11.01862914,9.29,692.0,3090.0,14350.0,90.3,0.0,0.0,0.0,0.0
1.0,debt_consolidation,0.1513,680.69,11.22524339,19.36,662.0,,20658.0,55.4,0.0,0.0,0.0,0.0
1.0,debt_consolidation,0.1059,650.9,11.58988651,11.96,,5070.0,,97.7,0.0,0.0,0.0,0.0
1.0,debt_consolidation,0.1253,836.66,11.33857208,13.63,732.0,6275.041667,25036.0,45.4,3.0,0.0,0.0,0.0
0.0,debt_consolidation,,196.52,,13.44,692.0,3480.0,19372.0,73.9,,0.0,0.0,0.0
1.0,debt_consolidation,0.1292,252.42,10.98529272,18.81,,3889.0,12195.0,,3.0,0.0,0.0,1.0
1.0,credit_card,,,11.68687877,16.89,677.0,14191.0,71663.0,83.2,2.0,0.0,0.0,0.0
1.0,small_business,0.1357,161.36,10.1266311,5.09,787.0,4800.0,44834.0,0.0,0.0,0.0,0.0,0.0
0.0,debt_consolidation,0.147,207.11,11.26446411,10.23,642.0,599.9583333,4103.0,93.7,0.0,0.0,0.0,0.0
1.0,credit_card,0.16,878.94,12.06681058,15.43,687.0,5249.958333,35010.0,65.7,1.0,0.0,1.0,0.0
0.0,all_other,0.1141,98.8,9.472704636,10.43,672.0,959.0416667,474.0,11.8,0.0,0.0,0.0,0.0
1.0,,0.0859,72.71,10.57131693,0.98,,2580.0,1868.0,22.8,1.0,0.0,0.0,0.0
1.0,debt_consolidation,,65.94,10.26813067,14.25,,3180.041667,179.0,59.7,2.0,0.0,0.0,0.0
1.0,credit_card,0.0963,224.66,11.56171563,3.19,,3210.0,8035.0,30.0,1.0,0.0,0.0,0.0
1.0,,,566.04,11.26446411,14.74,667.0,2730.041667,3745.0,89.2,3.0,0.0,0.0,0.0
1.0,debt_consolidation,0.1537,261.35,,17.5,677.0,2761.041667,16422.0,76.6,0.0,0.0,0.0,0.0
1.0,home_improvement,0.1347,508.84,10.6454249,14.34,712.0,4559.958333,8644.0,47.0,0.0,0.0,0.0,0.0
1.0,debt_consolidation,0.1537,871.16,,17.69,697.0,5639.958333,25700.0,92.2,0.0,0.0,0.0,0.0
1.0,home_improvement,0.0743,,11.91839057,0.0,777.0,7128.958333,6053.0,19.5,0.0,0.0,0.0,0.0
1.0,all_other,0.0894,,10.08580911,8.05,,3060.0,2489.0,15.6,0.0,0.0,0.0,
1.0,small_business,0.1316,506.56,11.91839057,4.06,697.0,7170.041667,85892.0,2.1,1.0,2.0,0.0,
1.0,debt_consolidation,0.0768,,,0.58,812.0,6959.958333,1674.0,8.8,1.0,0.0,0.0,0.0
1.0,credit_card,0.1189,258.68,10.77895629,9.63,742.0,4953.041667,3501.0,23.5,,0.0,0.0,1.0
,all_other,0.0859,177.02,,,737.0,6600.0,38084.0,81.0,,0.0,0.0,1.0
,all_other,0.1505,260.19,11.37939407,9.08,667.0,6930.0,55163.0,93.7,,0.0,0.0,0.0
1.0,home_improvement,0.1253,669.33,12.04355372,3.43,717.0,4380.0,3670.0,18.9,,0.0,0.0,
1.0,all_other,0.0933,95.87,10.50780352,2.69,697.0,,,33.2,2.0,0.0,0.0,0.0
1.0,educational,0.1114,164.02,10.30895266,10.32,732.0,1530.0,2350.0,7.9,1.0,0.0,0.0,0.0
1.0,credit_card,0.1531,426.49,10.47333652,19.65,,3810.041667,11705.0,81.3,0.0,0.0,,0.0
1.0,,0.1565,874.66,11.08214255,13.88,747.0,5370.0,22170.0,,1.0,0.0,0.0,0.0
1.0,all_other,0.1103,327.53,10.42228135,,697.0,2370.041667,2952.0,,2.0,0.0,0.0,0.0
1.0,all_other,0.1316,405.25,11.2771525,17.96,702.0,3240.041667,754.0,9.5,,,0.0,0.0
1.0,all_other,0.0894,444.81,11.00209984,20.82,757.0,8985.958333,946.0,18.9,1.0,0.0,0.0,0.0
1.0,debt_consolidation,0.1357,84.93,10.59663473,7.89,672.0,8460.0,1243.0,17.8,,0.0,0.0,1.0
1.0,debt_consolidation,0.08,313.37,10.59663473,23.01,797.0,5250.041667,10538.0,13.9,,0.0,0.0,0.0
1.0,major_purchase,0.0963,192.57,10.23995979,1.76,772.0,2310.041667,1292.0,4.3,1.0,0.0,,0.0
1.0,all_other,0.1442,51.58,11.23537852,11.4,677.0,3510.0,,18.0,0.0,0.0,0.0,0.0
1.0,all_other,,160.48,10.71894086,11.12,732.0,2400.0,4637.0,12.6,1.0,0.0,0.0,0.0
0.0,debt_consolidation,0.1253,669.33,11.39751461,18.36,727.0,12599.95833,25076.0,57.7,4.0,0.0,0.0,0.0
1.0,debt_consolidation,,534.41,11.08220409,22.85,682.0,2670.041667,,98.5,,0.0,0.0,0.0
0.0,all_other,0.1001,242.04,11.73606902,18.85,737.0,6570.0,276911.0,23.9,1.0,,0.0,0.0
1.0,debt_consolidation,0.0859,300.3,10.49127422,20.7,757.0,3330.041667,9324.0,32.2,0.0,0.0,0.0,0.0
1.0,debt_consolidation,,259.84,,17.51,662.0,2340.0,9805.0,30.5,2.0,0.0,0.0,0.0
1.0,debt_consolidation,0.1411,342.29,11.00209984,21.32,682.0,3090.041667,7168.0,23.3,1.0,0.0,0.0,1.0
1.0,major_purchase,0.1186,530.36,11.36674295,15.1,682.0,3900.0,348.0,,,,,1.0
1.0,credit_card,0.1287,420.42,10.91501573,17.61,702.0,2039.958333,13441.0,49.4,2.0,0.0,,0.0
1.0,all_other,0.1322,,10.91806585,0.0,807.0,3933.041667,0.0,0.0,1.0,0.0,0.0,0.0
1.0,debt_consolidation,0.0945,128.04,10.27505111,17.63,722.0,,3717.0,15.1,0.0,0.0,1.0,0.0
0.0,all_other,0.1387,119.41,11.26446411,8.86,647.0,2910.0,5376.0,71.7,8.0,1.0,0.0,1.0
0.0,all_other,0.1438,89.35,10.6454249,16.91,642.0,5549.0,4139.0,52.4,18.0,,1.0,1.0
0.0,,0.145,189.32,10.59663473,4.89,642.0,4680.0,4030.0,62.0,0.0,0.0,0.0,0.0
1.0,all_other,0.0859,63.23,10.27090459,15.96,732.0,1830.0,4545.0,16.2,0.0,0.0,0.0,0.0
1.0,major_purchase,,280.62,10.23981692,20.75,717.0,2716.041667,,57.3,0.0,0.0,,0.0
1.0,debt_consolidation,0.1496,,,15.65,662.0,5461.0,1824.0,67.6,0.0,2.0,0.0,0.0
1.0,,0.1474,55.26,,18.12,,,5704.0,80.3,0.0,0.0,0.0,0.0
1.0,home_improvement,0.0774,156.1,11.28978191,0.54,797.0,6000.0,429.0,0.6,0.0,,,
1.0,all_other,0.1148,138.47,,18.06,707.0,2550.0,3522.0,,1.0,1.0,0.0,0.0
1.0,debt_consolidation,0.1114,368.22,10.88911776,8.89,732.0,3600.0,,68.2,2.0,0.0,0.0,0.0
,all_other,0.0894,,10.1266311,16.56,727.0,2250.0,402.0,1.9,1.0,0.0,0.0,0.0
,educational,0.0768,31.2,11.75978554,14.31,792.0,,167381.0,0.0,0.0,0.0,0.0,0.0
1.0,debt_consolidation,0.1189,331.64,,15.25,727.0,5130.0,,28.2,,0.0,0.0,0.0
0.0,debt_consolidation,0.1114,328.04,10.30895266,,737.0,2070.041667,7328.0,,4.0,0.0,0.0,1.0
1.0,debt_consolidation,,499.5,11.26968124,18.26,717.0,7320.0,32207.0,61.7,3.0,0.0,0.0,0.0
1.0,debt_consolidation,0.1183,198.81,11.00141627,15.91,702.0,2970.041667,,43.6,0.0,0.0,0.0,0.0
0.0,all_other,,167.34,11.87756858,8.5,702.0,3780.041667,172842.0,69.14,2.0,1.0,0.0,0.0
0.0,debt_consolidation,0.1186,,11.05089001,10.42,687.0,6388.958333,7406.0,58.8,14.0,0.0,1.0,1.0
1.0,all_other,0.0894,508.35,11.69524702,23.1,782.0,6389.958333,78633.0,31.7,1.0,0.0,0.0,0.0
1.0,debt_consolidation,0.0863,221.4,10.6454249,2.74,727.0,2310.041667,6496.0,,0.0,0.0,0.0,0.0
0.0,credit_card,0.1387,54.59,10.30895266,1.92,642.0,2760.041667,1583.0,79.1,1.0,0.0,0.0,0.0
0.0,all_other,0.1829,435.58,11.53272809,14.8,652.0,4148.041667,52775.0,69.7,1.0,0.0,0.0,1.0
1.0,,,530.63,,2.61,757.0,5041.0,29204.0,,2.0,,0.0,0.0
1.0,debt_consolidation,0.1695,320.65,12.37581542,11.67,667.0,3869.958333,22353.0,99.3,0.0,0.0,1.0,0.0
0.0,all_other,,540.81,11.08214255,16.83,707.0,5699.958333,70715.0,84.6,0.0,0.0,0.0,0.0
1.0,,0.0976,514.48,13.25759333,1.61,742.0,6390.041667,22627.0,27.3,1.0,0.0,0.0,
0.0,all_other,0.1635,211.98,9.798127037,10.6,,,4511.0,,,0.0,0.0,0.0
1.0,debt_consolidation,,,10.96819829,8.13,797.0,4800.0,18001.0,3.4,,0.0,0.0,0.0
1.0,debt_consolidation,0.1159,158.5,10.81977828,20.45,707.0,5820.0,,58.9,,0.0,0.0,0.0
1.0,home_improvement,0.1197,,11.65442503,15.49,672.0,5159.958333,22625.0,86.4,1.0,,0.0,0.0
1.0,debt_consolidation,0.1739,,11.18996158,19.59,667.0,7020.0,19892.0,67.0,1.0,0.0,1.0,0.0
1.0,,0.0859,105.9,11.00209984,22.54,727.0,4500.0,32143.0,61.7,0.0,0.0,0.0,
0.0,credit_card,0.1099,425.56,11.57119437,,722.0,7500.041667,22354.0,65.6,4.0,0.0,0.0,0.0
1.0,educational,0.0859,110.64,10.38899537,,737.0,2160.0,1092.0,9.9,0.0,0.0,0.0,
1.0,debt_consolidation,0.0859,189.67,,22.52,,5310.041667,3676.0,10.2,1.0,0.0,0.0,0.0
1.0,debt_consolidation,0.1392,682.74,11.28603741,,697.0,4684.0,26379.0,,0.0,0.0,0.0,0.0
1.0,debt_consolidation,,,11.00209984,6.42,677.0,5789.958333,12897.0,47.8,0.0,3.0,0.0,0.0
1.0,debt_consolidation,0.1322,388.71,10.92593848,20.7,687.0,2280.041667,15543.0,57.4,3.0,0.0,0.0,0.0
1.0,debt_consolidation,0.1316,506.56,10.87161143,6.52,692.0,3630.0,10372.0,,,0.0,0.0,0.0
1.0,,,530.63,,3.06,752.0,3750.0,4498.0,,0.0,0.0,0.0,1.0
1.0,all_other,0.0832,78.72,10.1960079,6.58,722.0,6270.0,5134.0,,1.0,2.0,0.0,
1.0,major_purchase,,,10.46310334,7.58,707.0,8370.0,4336.0,12.5,1.0,,0.0,0.0
1.0,debt_consolidation,0.0859,102.74,8.699514748,6.0,732.0,2157.0,1215.0,32.8,1.0,0.0,0.0,1.0
1.0,all_other,0.1284,84.05,10.27505111,17.17,692.0,2940.0,1687.0,39.2,0.0,0.0,,1.0
1.0,,0.08,250.69,,12.63,712.0,5219.958333,12269.0,19.3,2.0,0.0,0.0,0.0
1.0,credit_card,0.1114,82.01,10.30895266,19.88,757.0,2280.041667,1781.0,35.6,0.0,0.0,,0.0
1.0,credit_card,0.1426,343.06,,7.5,677.0,2580.0,12907.0,52.9,,2.0,0.0,0.0
1.0,debt_consolidation,0.1253,284.47,11.01856357,16.11,697.0,2459.958333,9836.0,69.8,1.0,0.0,0.0,0.0
1.0,debt_consolidation,0.1316,168.86,10.96819829,0.12,722.0,,5176.0,45.6,,0.0,0.0,0.0
1.0,credit_card,0.1357,407.63,11.51292546,11.48,712.0,7139.041667,,,0.0,0.0,0.0,0.0
1.0,debt_consolidation,0.1166,330.53,10.4341158,23.96,742.0,,11927.0,45.5,,0.0,0.0,0.0
1.0,,0.0894,245.44,10.77895629,16.63,732.0,3629.958333,15355.0,35.5,2.0,0.0,0.0,
1.0,,0.1461,,11.38736224,5.56,792.0,9636.0,14653.0,44.3,3.0,0.0,,0.0
1.0,all_other,0.0932,319.47,10.91508846,0.39,782.0,4710.0,99.0,0.2,1.0,0.0,0.0,0.0
1.0,debt_consolidation,0.1474,189.96,10.30895266,16.04,677.0,1590.041667,2640.0,80.0,0.0,0.0,0.0,0.0
1.0,debt_consolidation,0.1183,803.5,12.03171926,11.42,762.0,5343.041667,55622.0,39.5,0.0,0.0,0.0,0.0
1.0,all_other,0.1379,340.76,10.75790288,23.69,692.0,4590.0,1400.0,77.8,,1.0,1.0,0.0
1.0,all_other,0.1183,397.61,11.71993963,15.88,722.0,7442.0,46336.0,49.8,2.0,0.0,0.0,0.0
1.0,home_improvement,0.1392,573.5,11.09522582,17.49,687.0,4620.041667,19158.0,64.7,1.0,1.0,0.0,0.0
1.0,debt_consolidation,0.1189,,11.40756495,13.95,,6809.958333,,75.8,0.0,0.0,1.0,0.0
1.0,debt_consolidation,0.1114,328.04,11.28978191,,,3690.0,10422.0,56.0,0.0,0.0,0.0,0.0
1.0,debt_consolidation,0.0963,,11.43820192,,752.0,,12363.0,17.8,1.0,0.0,0.0,0.0
1.0,debt_consolidation,0.1099,523.77,10.54534144,20.18,722.0,4830.0,21370.0,33.8,1.0,0.0,0.0,0.0
1.0,all_other,0.1253,669.33,10.88743693,10.56,747.0,6330.0,25121.0,88.4,1.0,0.0,0.0,0.0
0.0,debt_consolidation,0.1496,346.45,10.71441777,,672.0,,7201.0,82.8,4.0,0.0,0.0,0.0
