credit.policy,purpose,int.rate,installment,log.annual.inc,dti,fico,days.with.cr.line,revol.bal,revol.util,inq.last.6mths,delinq.2yrs,pub.rec,not.fully.paid
0,debt_consolidation,0.1513,451.48,11.26446411,29.28,717,3330.0,61057,80.7,3,0,0,0
1,home_improvement,0.1537,871.16,11.9251416,23.85,677,6419.958333,40741,50.3,3,0,0,1
1,major_purchase,0.1357,480.44183028534826,11.30220443,0.81,752,4770.0,981,1.1,7,1,0,1
1,credit_card,0.1284,188.27,10.30895266,2.08,687,4139.958333,3859,38.6,3,1,0,1
1,debt_consolidation,0.1457383950831625,519.68,11.40756495,24.99,687,3509.958333,53896,89.24934217318898,2,0,0,0
1,debt_consolidation,0.13547649172604104,538.14,10.91508846,17.93,717,4110.041667,24953,94.5,0,0,0,0
1,small_business,0.0894,57.19,10.53209621,21.54,742,3179.958333,2940,32.3,0,0,0,0
0,debt_consolidation,0.1197,199.2,10.77895629,15.38,677,4229.958333,4956,40.0,4,0,0,0
0,credit_card,0.1475,103.63,10.57131693,5.23,652,1800.0,2060,12.7,0,4,0,0
1,credit_card,0.1099,180.05,10.975185919550574,17.42,697,5700.041667,723,16.4,0,1,0,0
1,debt_consolidation,0.11743921201355605,662.68,11.33857208,14.67,747,6240.041667,8156,22.0,2,0,0,0
0,credit_card,0.1126,242.37519961344458,11.21182037,17.94,717,4290.0,260,7.6,4,0,1,0
1,credit_card,0.0774,109.27,10.34817337,5.73,767,2220.0,1092,9.9,0,0,0,0
1,debt_consolidation,0.0932,415.31,11.40756495,8.51,782,4230.0,9957,29.6,0,0,0,0
0,debt_consolidation,0.14248031379552825,332.6,12.50617724,7.33,682,5009.958333,107007,29.8,5,0,0,1
1,debt_consolidation,0.1218,807.53,11.57988293,16.75892061277399,742,9360.0,51941,43.10879360123849,0,0,0,0
1,debt_consolidation,0.1461,330.97,10.6454249,15.439914936766007,672,3240.0,10565,80.7,0,0,0,0
1,major_purchase,0.08171797615790942,256.96,11.21182037,11.46,772,6419.958333,23891,19.3,0,0,0,0
1,debt_consolidation,0.1114,433.01,11.09741002,8.6,737,5162.0,26850,58.1,1,0,0,0
1,debt_consolidation,0.1461,356.5845698902001,10.59663473,16.89,687,2250.0,21668,87.4,0,0,0,0
1,credit_card,0.1209,199.55,11.3224427,18.06,682,3030.041667,23958,67.76448531028424,1,0,0,0
1,debt_consolidation,0.08892941194746912,188.02,10.18490001,12.14,762,2040.041667,1491,5.5,0,0,0,0
0,small_business,0.1261,67.02,11.9511804,17.69,664,4410.0,32135,91.1,11,0,0,0
0,debt_consolidation,0.16,175.79,11.26070062,22.9,677,3810.0,535,26.8,5,0,1,0
1,major_purchase,0.0859,189.67,10.18111929,10.14,742,5430.0,6435,19.0,0,0,0,0
1,all_other,0.0743,124.3,11.04292184,5.82,772,5430.0,773,9.569667535144148,0,0,0,0
0,credit_card,0.1418,51.4,10.37972173,16.36,642,7920.041667,0,0.0,0,2,0,0
1,debt_consolidation,0.1284,537.89,11.03033367679114,15.96114863359159,702,4486.810746256766,20871,70.2,2,0,1,1
1,debt_consolidation,0.1287,311.11,10.22034,18.97,687,2550.0,9666,83.3,0,0,0,0
1,debt_consolidation,0.16,215.34,11.1123882,16.25,667,4859.958333,5636,49.9,2,1,0,0
1,home_improvement,0.12995475830618644,137.14,9.392661929,7.677868715859951,707,1290.041667,1088,51.8,1,0,0,0
1,debt_consolidation,0.0885294707305255,95.85,12.32385568,11.77,732,6029.958333,12176,36.1,1,0,0,0
1,small_business,0.1347,508.84,11.05089001,12.93,712,6553.0,18231,97.0,0,0,0,0
1,educational,0.1853,538.98,11.00209984,1.58,717,3390.0,8476,66.7,1,0,0,1
1,major_purchase,0.1039,132.24,11.01862914,9.29,692,3090.0,14350,90.3,0,0,0,0
1,debt_consolidation,0.1513,680.69,11.22524339,19.36,662,5409.083420373978,20658,55.4,0,0,0,0
1,debt_consolidation,0.1059,650.9,11.58988651,11.96,737,5070.0,65869,97.7,0,0,0,0
1,debt_consolidation,0.1253,836.66,11.33857208,13.63,732,6275.041667,25036,45.4,3,0,0,0
