credit.policy,purpose,int.rate,installment,log.annual.inc,dti,fico,days.with.cr.line,revol.bal,revol.util,inq.last.6mths,delinq.2yrs,pub.rec,not.fully.paid
,0.0,,,11.26446411,,717.0,,61057.0,80.7,,0.0,0.0,0.0
,,0.1537,,,23.85,,,40741.0,,,0.0,0.0,1.0
1.0,1.0,,509.53,11.30220443,,,4770.0,981.0,1.1,7.0,1.0,0.0,
1.0,2.0,0.1284,188.27,10.30895266,2.08,,4139.958333,3859.0,38.6,,0.0,0.0,1.0
,0.0,0.1496,,11.40756495,,687.0,,53896.0,96.8,,0.0,0.0,
,0.0,,538.14,,17.93,717.0,4110.041667,24953.0,94.5,,0.0,,0.0
1.0,6.0,0.0894,57.19,10.53209621,21.54,742.0,3179.958333,2940.0,32.3,5.0,0.0,0.0,
0.0,0.0,0.1197,199.2,10.77895629,,677.0,4229.958333,4956.0,,4.0,0.0,0.0,0.0
0.0,2.0,0.1475,,10.57131693,,652.0,,2060.0,12.7,0.0,4.0,,
1.0,2.0,0.1099,180.05,,17.42,697.0,5700.041667,723.0,,,,0.0,0.0
1.0,,0.1183,662.68,,14.67,747.0,6240.041667,,,,0.0,,0.0
,2.0,0.1126,164.32,11.21182037,,717.0,,260.0,7.6,4.0,0.0,1.0,
1.0,2.0,0.0774,109.27,10.34817337,5.73,767.0,2220.0,1092.0,9.9,0.0,0.0,0.0,0.0
1.0,0.0,0.0932,415.31,11.40756495,,782.0,4230.0,9957.0,29.6,,0.0,0.0,
0.0,,0.1533,332.6,,7.33,682.0,5009.958333,,29.8,5.0,,0.0,1.0
1.0,0.0,0.1218,,11.57988293,,742.0,9360.0,81940.0,,,0.0,0.0,0.0
,0.0,0.1461,330.97,,,672.0,3240.0,10565.0,80.7,,,0.0,0.0
,,,256.96,,11.46,772.0,,23891.0,19.3,0.0,,,
1.0,0.0,0.1114,433.01,,8.6,737.0,,,58.1,1.0,0.0,0.0,0.0
1.0,0.0,0.1461,,10.59663473,16.89,687.0,,21668.0,,0.0,0.0,0.0,0.0
1.0,2.0,0.1209,199.55,11.3224427,18.06,682.0,,23958.0,87.1,,0.0,0.0,0.0
1.0,0.0,0.08,188.02,10.18490001,12.14,762.0,2040.041667,1491.0,5.5,0.0,,0.0,0.0
,6.0,0.1261,67.02,,17.69,662.0,4410.0,32135.0,91.1,11.0,0.0,0.0,0.0
,,,175.79,11.26070062,22.9,,3810.0,6632.0,,5.0,0.0,1.0,0.0
,1.0,,189.67,10.18111929,,742.0,5430.0,6435.0,19.0,0.0,0.0,0.0,0.0
1.0,3.0,0.0743,124.3,11.04292184,5.82,772.0,5430.0,773.0,4.8,0.0,,0.0,0.0
0.0,,,,,,642.0,,0.0,0.0,0.0,1.0,0.0,0.0
1.0,0.0,,,11.28978191,,702.0,5490.0,19306.0,,,0.0,,0.0
1.0,0.0,0.1287,311.11,10.22034,18.97,687.0,2550.0,9666.0,83.3,,0.0,0.0,0.0
1.0,0.0,0.16,,11.1123882,16.25,667.0,4859.958333,,49.9,2.0,,0.0,
1.0,5.0,0.1422,137.14,9.392661929,,707.0,1290.041667,1088.0,,1.0,0.0,0.0,0.0
1.0,0.0,0.0932,95.85,12.32385568,,,6029.958333,12176.0,36.1,1.0,0.0,0.0,0.0
,6.0,0.1347,508.84,11.05089001,12.93,712.0,6553.0,18231.0,97.0,3.0,0.0,,0.0
1.0,4.0,0.1853,,11.00209984,,,,,66.7,1.0,0.0,0.0,
1.0,1.0,0.1039,,,9.29,692.0,3090.0,14350.0,90.3,0.0,0.0,0.0,0.0
1.0,0.0,0.1513,680.69,11.22524339,19.36,662.0,,,,,0.0,0.0,0.0
1.0,0.0,,650.9,11.58988651,11.96,707.0,,,,,,0.0,
1.0,0.0,0.1253,836.66,11.33857208,,732.0,6275.041667,25036.0,45.4,3.0,,0.0,0.0
0.0,,0.1103,196.52,10.59663473,13.44,692.0,,19372.0,,4.0,0.0,0.0,0.0
1.0,0.0,0.1292,252.42,,18.81,672.0,3889.0,12195.0,58.9,3.0,0.0,1.0,1.0
,1.0,,515.74,11.68687877,,677.0,14191.0,71663.0,83.2,2.0,0.0,0.0,0.0
,4.0,0.1357,161.36,10.1266311,5.09,787.0,,44834.0,0.0,0.0,,0.0,0.0
0.0,,0.147,,11.26446411,10.23,642.0,599.9583333,,,0.0,0.0,,
1.0,1.0,0.16,878.94,12.06681058,15.43,687.0,5249.958333,35010.0,65.7,1.0,0.0,,0.0
,2.0,0.1141,98.8,9.472704636,,672.0,959.0416667,474.0,,0.0,0.0,0.0,
,1.0,0.0859,72.71,,0.98,742.0,,,22.8,1.0,0.0,,
1.0,0.0,0.1148,65.94,10.26813067,14.25,702.0,,,59.7,2.0,0.0,0.0,0.0
,,0.0963,224.66,11.56171563,3.19,,3210.0,,30.0,,,,0.0
1.0,0.0,0.1645,566.04,11.26446411,,667.0,,3745.0,89.2,3.0,,0.0,
1.0,0.0,0.1537,261.35,11.00209984,17.5,677.0,2761.041667,16422.0,76.6,0.0,0.0,,0.0
1.0,3.0,,508.84,,14.34,712.0,4559.958333,8644.0,47.0,,,0.0,0.0
1.0,,,871.16,,17.69,697.0,5639.958333,25700.0,92.2,,,0.0,
1.0,,0.0743,155.38,,0.0,,7128.958333,6053.0,,,,,
,2.0,0.0894,190.63,10.08580911,8.05,727.0,3060.0,,15.6,0.0,0.0,0.0,
1.0,,0.1316,,11.91839057,4.06,,7170.041667,85892.0,2.1,,2.0,0.0,0.0
,,,165.32,10.33946893,0.58,812.0,6959.958333,1674.0,,1.0,,0.0,0.0
1.0,1.0,0.1189,258.68,10.77895629,,742.0,,3501.0,,,0.0,0.0,1.0
,2.0,0.0859,177.02,11.8277654,,,6600.0,38084.0,81.0,3.0,0.0,0.0,1.0
,2.0,,260.19,11.37939407,,667.0,,55163.0,93.7,0.0,0.0,0.0,0.0
