credit.policy,purpose,int.rate,installment,log.annual.inc,dti,fico,days.with.cr.line,revol.bal,revol.util,inq.last.6mths,delinq.2yrs,pub.rec,not.fully.paid
1.0,all_other,0.1189,49.75,10.82972862,16.87,687.0,,,64.1,0.0,0.0,0.0,0.0
1.0,,,84.12,10.20359214,10.0,707.0,2730.041667,5630.0,23.0,,0.0,,0.0
1.0,debt_consolidation,0.1695,712.54,11.91839057,13.61,672.0,,16473.0,94.1,2.0,2.0,0.0,0.0
1.0,,0.1739,286.78,11.18996158,19.59,667.0,,19892.0,67.0,,,1.0,0.0
0.0,credit_card,,,9.392661929,4.4,657.0,,5251.0,49.3,9.0,0.0,0.0,
1.0,debt_consolidation,,99.41,10.6454249,,697.0,3090.041667,6297.0,76.8,1.0,0.0,,0.0
,debt_consolidation,,189.08,,12.5,727.0,2550.0,,,,,0.0,0.0
,,0.0932,127.79,11.51292546,,,2310.041667,116648.0,,1.0,0.0,0.0,0.0
1.0,small_business,0.1565,699.73,,3.6,722.0,5657.958333,16930.0,22.6,,0.0,0.0,1.0
,debt_consolidation,0.0963,,11.15016059,14.57,,15119.95833,,,0.0,,,0.0
1.0,,,,11.71993963,4.64,,,7888.0,7.5,1.0,,,0.0
1.0,credit_card,0.0894,,11.38509209,,,7020.041667,19490.0,56.5,,0.0,0.0,0.0
1.0,,0.1565,279.89,11.00209984,16.72,717.0,2550.0,16951.0,99.7,0.0,,0.0,
1.0,major_purchase,0.1189,,10.77895629,18.13,722.0,3150.0,15155.0,42.3,2.0,0.0,0.0,
1.0,home_improvement,,319.47,,12.62,,,798.0,4.9,0.0,,0.0,
1.0,major_purchase,0.1442,,10.08580911,13.5,692.0,2640.0,2109.0,,1.0,0.0,0.0,0.0
1.0,small_business,0.1261,820.91,11.69524702,5.76,697.0,2141.041667,23908.0,,3.0,,0.0,1.0
,debt_consolidation,0.1114,,10.97934285,14.62,717.0,,5684.0,,4.0,,0.0,0.0
0.0,,0.1218,133.2,11.15625052,22.75,697.0,7860.0,146743.0,,,0.0,0.0,1.0
1.0,,,,10.49127422,5.07,,,,11.3,2.0,0.0,0.0,0.0
1.0,debt_consolidation,0.1632,565.02,10.95080655,5.64,662.0,4770.0,19607.0,76.9,0.0,,0.0,
,all_other,0.0774,124.88,11.58988651,6.02,787.0,4230.041667,337.0,1.9,0.0,0.0,0.0,0.0
0.0,small_business,0.1059,,,13.9,697.0,6090.041667,,,5.0,,,1.0
0.0,,0.1008,,,,,,,74.0,0.0,0.0,0.0,1.0
0.0,small_business,0.1304,,11.8493977,4.89,697.0,6149.958333,26761.0,47.1,4.0,0.0,0.0,0.0
1.0,,0.1051,325.08,11.05089001,22.63,717.0,6660.0,15655.0,44.3,,0.0,0.0,
1.0,debt_consolidation,,196.83,,6.28,,2640.041667,1571.0,30.2,1.0,0.0,,
,all_other,0.1287,,,1.75,682.0,,3867.0,,,0.0,0.0,0.0
1.0,,,,11.35040654,8.6,672.0,5220.0,9132.0,36.5,2.0,0.0,,
1.0,debt_consolidation,0.1183,795.22,,,812.0,11705.0,346.0,0.7,0.0,0.0,0.0,
1.0,debt_consolidation,0.1324,,11.28978191,,697.0,4080.0,16805.0,64.1,0.0,,0.0,0.0
1.0,credit_card,,115.54,10.37349118,,717.0,,,41.5,1.0,0.0,,0.0
1.0,debt_consolidation,0.1062,,10.71441777,23.55,722.0,3874.041667,24931.0,,,0.0,0.0,0.0
1.0,,0.1505,,11.1844214,,672.0,4800.0,5517.0,,2.0,0.0,,
,small_business,,,10.1266311,,,,3238.0,,0.0,0.0,0.0,0.0
0.0,debt_consolidation,0.1324,,10.39537498,,727.0,6030.041667,,30.5,0.0,0.0,1.0,
1.0,home_improvement,0.1322,338.01,11.1844214,0.93,737.0,,3714.0,18.2,,0.0,0.0,1.0
1.0,all_other,,168.17,10.67359577,,682.0,2429.958333,,75.8,3.0,,,
0.0,small_business,0.16,,11.69524702,20.15,,8100.0,215175.0,35.0,4.0,0.0,0.0,0.0
1.0,all_other,0.08,31.34,10.1266311,9.26,742.0,1979.958333,,31.4,0.0,,0.0,0.0
,educational,,93.18,11.38509209,,792.0,5069.958333,0.0,0.0,,0.0,0.0,0.0
