credit.policy,purpose,int.rate,installment,log.annual.inc,dti,fico,days.with.cr.line,revol.bal,revol.util,inq.last.6mths,delinq.2yrs,pub.rec,not.fully.paid
,debt_consolidation,,829.1,11.35040654,19.48,,5639.958333,28854.0,,,0.0,,
,,,228.22,11.08214255,14.29,,2760.0,,76.7,0.0,0.0,,0.0
,debt_consolidation,,,,,,4710.0,,25.6,1.0,0.0,0.0,
,debt_consolidation,,162.34,11.35040654,8.1,,,33667.0,,,,0.0,0.0
,credit_card,,102.92,,,667.0,4066.0,4740.0,39.5,,,,0.0
1.0,credit_card,0.0788,125.13,,16.98,,6120.041667,50807.0,,0.0,0.0,,
1.0,,0.1496,,,4.0,,,3839.0,,0.0,,,
1.0,,0.1114,,,11.08,722.0,,,68.6,,,0.0,
,home_improvement,0.1134,,,,682.0,,,51.1,1.0,0.0,0.0,0.0
1.0,,0.1221,,,,,,5630.0,23.0,,,,
1.0,debt_consolidation,,360.43,,,,,,71.0,,0.0,1.0,
1.0,debt_consolidation,,253.58,,9.16,662.0,,5122.0,,2.0,1.0,,
,,,316.11,10.93310697,15.49,,,6068.0,16.7,0.0,0.0,0.0,
1.0,small_business,0.0714,,11.51292546,6.5,,4384.0,,,0.0,,0.0,0.0
1.0,debt_consolidation,0.0863,209.54,,9.73,,1559.958333,,44.6,,,,0.0
,major_purchase,,,,,,,5394.0,,,,0.0,
1.0,all_other,,77.69,,,672.0,3895.958333,2211.0,88.4,,,,0.0
,credit_card,,476.58,,,797.0,,7586.0,,,0.0,,0.0
,debt_consolidation,,,,,712.0,,,,0.0,0.0,,0.0
1.0,major_purchase,,,,2.74,667.0,,,84.4,3.0,0.0,,0.0
,,0.08,188.02,11.22524339,16.08,772.0,4888.958333,,23.2,1.0,,,
1.0,,0.0863,474.42,,,797.0,,,,,0.0,0.0,0.0
1.0,,0.1355,339.6,11.51292546,,,,21162.0,,0.0,,,0.0
1.0,credit_card,0.0788,484.85,,,,5640.041667,16931.0,,,0.0,,0.0
,,0.1229,320.19,11.26446411,8.8,,,4822.0,58.1,0.0,0.0,,0.0
1.0,all_other,0.0901,159.03,12.4292162,10.0,712.0,,14354.0,36.6,,,0.0,
1.0,all_other,,155.38,11.08214255,,,4649.958333,1576.0,5.7,,0.0,,0.0
1.0,,0.1375,255.43,,,662.0,1318.958333,4175.0,51.5,0.0,,,
1.0,all_other,,,,,772.0,,,13.7,,0.0,,
1.0,,,155.38,12.20607265,3.72,812.0,,85607.0,0.7,,,,
1.0,,0.0807,,11.51292546,2.3,,,,19.4,0.0,,,0.0
1.0,credit_card,0.1028,275.38,,,,,,26.9,,1.0,,
,home_improvement,,,11.91839057,0.0,777.0,,6053.0,,0.0,,0.0,
1.0,,0.0807,78.42,,,,,7274.0,,0.0,,0.0,
1.0,,0.087,,,15.55,757.0,4770.0,,,0.0,0.0,,0.0
1.0,all_other,,,11.46163217,3.83,,,3660.0,6.8,0.0,,0.0,0.0
,,,,,0.31,787.0,3540.0,216.0,0.6,,,,
,credit_card,,164.23,11.28978191,1.21,672.0,,,16.1,3.0,,,0.0
1.0,,,,10.77895629,,707.0,,28329.0,48.6,1.0,,0.0,
1.0,,,159.77,12.10071213,11.93,,4498.958333,,39.2,,,0.0,0.0
1.0,home_improvement,,,12.10071213,,742.0,,,26.3,0.0,0.0,,
1.0,debt_consolidation,0.0743,155.38,,2.29,777.0,3540.0,8379.0,16.9,0.0,0.0,,
,small_business,,94.98,,14.54,,2460.0,,7.8,1.0,,0.0,
1.0,,,,12.20607265,,677.0,3779.958333,0.0,,0.0,,0.0,
1.0,credit_card,,,10.30895266,18.64,,,,,0.0,0.0,,
,credit_card,0.0838,,11.21182037,,,5610.958333,6844.0,14.4,0.0,0.0,0.0,
,,0.0775,,,,,,,,0.0,0.0,0.0,
,all_other,0.0838,160.72,10.37349118,14.78,,4379.0,4737.0,,,0.0,,
1.0,,,,11.19821472,9.96,,3089.958333,,37.6,0.0,0.0,0.0,
1.0,debt_consolidation,,178.69,,,,,2817.0,10.2,0.0,0.0,0.0,
,,0.0743,,,1.12,,,,,,0.0,0.0,
,,,323.98,10.217422,,712.0,,,,0.0,0.0,0.0,0.0
1.0,,,813.65,10.77895629,,762.0,2729.958333,,,0.0,,,
1.0,,,112.87,,16.44,,,2864.0,,,0.0,,
1.0,,0.1596,94.88,,,627.0,1409.0,,92.3,,0.0,0.0,0.0
,,0.1059,,,,747.0,14008.95833,17214.0,,,,0.0,0.0
1.0,,0.1154,39.6,9.903487553,2.04,662.0,1139.0,,,,0.0,0.0,0.0
1.0,,,,,,682.0,,,,0.0,,,
1.0,credit_card,,401.37,,,682.0,,43039.0,,,,0.0,0.0
1.0,all_other,0.0964,205.45,,,,,3362.0,,0.0,0.0,,0.0
1.0,,,397.75,,,682.0,8730.0,,,,,0.0,
,all_other,0.0743,,10.59663473,2.55,772.0,8189.958333,,14.0,,0.0,0.0,
1.0,all_other,,113.39,9.903487553,1.5,,1410.0,,32.4,,0.0,0.0,0.0
1.0,,0.1186,,,,667.0,,,70.9,,0.0,1.0,
,,,109.79,,,752.0,,6432.0,6.0,,,0.0,0.0
1.0,all_other,0.1059,32.55,10.43382164,14.47,,,,,1.0,,0.0,1.0
1.0,,,112.87,,11.06,702.0,4979.958333,,20.5,,1.0,0.0,0.0
,debt_consolidation,,,,,,,20969.0,,0.0,0.0,0.0,0.0
1.0,debt_consolidation,,340.57,10.46310334,,707.0,2699.958333,,65.9,,0.0,,0.0
1.0,home_improvement,0.0775,,,,,,2160.0,,1.0,0.0,,
,,0.0743,,11.15625052,4.56,812.0,9809.0,,1.0,0.0,,0.0,
,home_improvement,0.0807,,11.91839057,,,,,24.4,,,,
,,0.0996,257.99,10.77895629,15.13,,2640.0,11289.0,,3.0,,0.0,0.0
,small_business,0.1501,225.37,12.26904744,6.45,677.0,,,75.3,0.0,,,
,home_improvement,0.0964,,11.22524339,20.0,,4920.958333,269.0,,,,0.0,
1.0,,0.128,84.0,,20.0,,,3408.0,,1.0,,,1.0
1.0,,,507.46,10.59663473,,712.0,5368.958333,6513.0,34.3,3.0,,1.0,
1.0,educational,,,,3.45,772.0,1739.958333,,,0.0,,0.0,0.0
1.0,credit_card,0.087,,,6.07,712.0,2550.0,5967.0,19.8,,0.0,0.0,
1.0,all_other,,130.79,,18.0,,,,,,0.0,,
,,0.0775,93.67,11.73606902,,,8370.0,,,,0.0,,
1.0,all_other,0.0775,,,5.35,,,21050.0,0.7,,,,0.0
,all_other,,,,,742.0,3026.0,,14.9,1.0,,0.0,
,,,,,,722.0,,8155.0,14.9,1.0,,,
1.0,home_improvement,0.087,,11.03488966,,737.0,2729.958333,,,,0.0,0.0,
,,,179.8,,,662.0,2944.0,2040.0,,,,,0.0
,,0.1533,444.05,11.00209984,19.52,667.0,2700.958333,,,,,,
,,,124.89,11.03165864,,747.0,,,,0.0,,,
1.0,,,644.3,,5.24,662.0,1770.0,22379.0,,,0.0,,0.0
1.0,,,642.02,11.47210347,2.86,737.0,2190.0,,42.5,,,,
,small_business,0.1154,104.76,,,,,,,,0.0,,
1.0,,,157.66,10.30895266,,682.0,1770.0,,,,,,0.0
,,,,,4.8,767.0,,,39.1,,0.0,0.0,
,credit_card,0.1122,217.6,,18.0,702.0,,,26.1,2.0,0.0,,0.0
1.0,,,,11.05089001,3.49,,,,,,,,0.0
,debt_consolidation,0.0775,156.11,10.71441777,,,,,,,,0.0,
,debt_consolidation,,329.95,,20.0,,,,44.8,,,,
1.0,all_other,,313.67,,0.72,787.0,,,5.6,,0.0,0.0,0.0
1.0,all_other,,297.99,11.40756495,,,,40384.0,,,,0.0,0.0
,,0.0933,,,,,4529.0,,,3.0,,0.0,0.0
1.0,,0.0712,61.87,11.6784399,,,5936.0,,18.5,0.0,,,
,,0.1186,94.47,,2.8,667.0,5460.0,,75.0,0.0,1.0,,0.0
1.0,,,73.68,,16.89,,4080.0,,,0.0,0.0,0.0,
,,0.0807,313.67,11.91839057,5.84,,5364.958333,,,,,0.0,0.0
,debt_consolidation,,543.2,11.22524339,,762.0,5699.958333,,16.6,,0.0,,0.0
1.0,home_improvement,0.0807,,11.35040654,,,5363.958333,37152.0,3.7,0.0,0.0,,
,credit_card,0.1217,,11.15625052,10.2,672.0,,26283.0,,0.0,1.0,0.0,1.0
1.0,debt_consolidation,0.1028,210.6,10.71441777,,692.0,1741.958333,5607.0,42.2,0.0,0.0,,
,,,234.15,,,,,,,,0.0,,
1.0,,,,,,,4679.958333,56740.0,77.5,1.0,,,0.0
,credit_card,,235.96,,7.22,712.0,,40598.0,77.3,,,0.0,
,,0.1438,,11.1844214,,687.0,,3815.0,6.5,,,0.0,
,,0.0743,,,,772.0,,,,,0.0,,
,,0.0712,64.96,11.60823564,,812.0,,50.0,,,,,
,,,,11.42954386,1.53,,3603.958333,4569.0,56.4,,0.0,,
1.0,,0.1059,,,8.15,692.0,,,86.1,,,,0.0
1.0,,,295.59,10.3859137,22.15,747.0,,,,,0.0,,0.0
,small_business,,217.59,10.81977828,,707.0,,113.0,2.4,,0.0,,0.0
,,,263.09,,9.8,677.0,,,,3.0,0.0,0.0,1.0
1.0,debt_consolidation,,248.43,10.95080655,20.76,667.0,3750.0,13552.0,,,1.0,,
