credit.policy,purpose,int.rate,installment,log.annual.inc,dti,fico,days.with.cr.line,revol.bal,revol.util,inq.last.6mths,delinq.2yrs,pub.rec,not.fully.paid
1,debt_consolidation,0.12262191430398635,829.1,11.35040654,12.525638387232254,711,5639.958333,17304,46.537743223366256,2,0,0,0
1,credit_card,0.12262191430398635,228.22,11.08214255,12.525638387232254,711,2760.0,17304,46.537743223366256,2,0,0,0
1,debt_consolidation,0.12262191430398635,317.2691090985678,10.92224771007689,12.525638387232254,682,4566.1667009668045,17304,46.537743223366256,2,0,0,0
1,debt_consolidation,0.12262191430398635,162.34,10.92224771007689,12.525638387232254,711,4566.1667009668045,17304,46.537743223366256,2,0,0,0
1,all_other,0.1426,102.92,11.29973224,12.525638387232254,667,4566.1667009668045,17304,39.5,2,1,0,0
1,credit_card,0.12262191430398635,317.2691090985678,11.90496755,12.525638387232254,711,4566.1667009668045,50807,51.0,2,0,0,0
1,debt_consolidation,0.12262191430398635,317.2691090985678,10.92224771007689,12.525638387232254,667,4566.1667009668045,3839,46.537743223366256,0,0,1,1
1,all_other,0.12262191430398635,131.22,11.00209984,12.525638387232254,722,4566.1667009668045,24220,46.537743223366256,2,0,0,0
1,home_improvement,0.12262191430398635,317.2691090985678,10.92224771007689,17.25,682,3989.0,69909,51.1,1,0,0,0
1,debt_consolidation,0.1221,84.12,10.92224771007689,12.525638387232254,707,4566.1667009668045,17304,23.0,1,0,0,0
1,debt_consolidation,0.1347,360.43,10.4341158,22.09,677,4566.1667009668045,17304,71.0,2,0,0,0
1,debt_consolidation,0.12262191430398635,253.58,11.83500896,12.525638387232254,662,4298.0,17304,18.2,2,1,0,0
1,all_other,0.12262191430398635,316.11,10.93310697,15.49,711,4566.1667009668045,6068,46.537743223366256,0,0,0,0
1,all_other,0.12262191430398635,317.2691090985678,11.51292546,6.5,747,4566.1667009668045,17304,46.537743223366256,2,0,0,0
1,debt_consolidation,0.0863,209.54,9.487972109,9.73,727,1559.958333,17304,46.537743223366256,2,0,0,0
1,major_purchase,0.12262191430398635,327.53,10.92224771007689,13.04,702,8159.958333,17304,53.4,2,0,0,0
1,all_other,0.12262191430398635,77.69,10.92224771007689,2.26,672,4566.1667009668045,17304,46.537743223366256,2,0,0,0
1,credit_card,0.12262191430398635,476.58,10.92224771007689,7.07,711,6510.958333,7586,46.537743223366256,1,0,0,0
1,all_other,0.12262191430398635,317.2691090985678,10.92224771007689,12.525638387232254,711,2760.0,8311,59.8,0,0,0,0
1,all_other,0.1513,317.2691090985678,10.92224771007689,2.74,667,4566.1667009668045,591,84.4,3,0,0,0
1,all_other,0.12262191430398635,317.2691090985678,11.22524339,16.08,772,4888.958333,17304,23.2,1,0,0,0
1,all_other,0.0863,474.42,10.92224771007689,2.59,797,4566.1667009668045,5656,27.6,2,0,0,0
1,all_other,0.12262191430398635,317.2691090985678,11.51292546,7.94,711,1939.958333,17304,46.537743223366256,2,0,0,0
1,all_other,0.12262191430398635,317.2691090985678,11.73606902,7.05,782,5640.041667,17304,34.6,1,0,0,0
1,all_other,0.1229,320.19,11.26446411,8.8,672,4566.1667009668045,4822,46.537743223366256,2,0,1,0
1,all_other,0.0901,317.2691090985678,10.92224771007689,10.0,712,1553.958333,17304,36.6,0,2,0,0
1,all_other,0.12262191430398635,155.38,11.08214255,0.28,802,4566.1667009668045,1576,5.7,1,0,0,0
1,debt_consolidation,0.1375,317.2691090985678,9.998797732,14.29,662,1318.958333,4175,46.537743223366256,2,0,0,0
1,all_other,0.0743,317.2691090985678,12.20607265,12.525638387232254,772,4566.1667009668045,3164,13.7,0,0,0,0
1,all_other,0.12262191430398635,155.38,10.92224771007689,3.72,711,6778.958333,17304,0.7,0,0,0,0
1,all_other,0.0807,156.84,10.92224771007689,2.3,711,3148.958333,9698,46.537743223366256,2,0,0,0
1,all_other,0.12262191430398635,275.38,10.92224771007689,6.4,711,4566.1667009668045,17304,46.537743223366256,1,1,0,0
1,all_other,0.0743,155.38,10.92224771007689,12.525638387232254,777,4566.1667009668045,17304,19.5,2,0,0,0
1,home_improvement,0.0807,317.2691090985678,10.92224771007689,11.33,762,6059.958333,17304,13.1,0,0,0,0
1,credit_card,0.12262191430398635,317.2691090985678,10.92224771007689,15.55,757,4770.0,17304,23.0,0,0,0,0
1,all_other,0.0743,317.2691090985678,10.92224771007689,3.83,772,2535.0,17304,6.8,2,0,0,0
1,all_other,0.12262191430398635,317.2691090985678,11.35040654,0.31,711,4566.1667009668045,216,0.6,0,0,0,0
1,credit_card,0.1122,317.2691090985678,10.92224771007689,12.525638387232254,672,3990.0,27185,16.1,3,0,1,0
1,debt_consolidation,0.12262191430398635,161.25,10.92224771007689,8.03,711,4566.1667009668045,17304,48.6,1,0,0,0
1,all_other,0.0933,317.2691090985678,10.92224771007689,12.525638387232254,717,4566.1667009668045,17304,39.2,1,0,0,0
1,home_improvement,0.12262191430398635,317.2691090985678,10.92224771007689,5.55,711,4019.0,17304,46.537743223366256,2,0,0,0
1,all_other,0.12262191430398635,317.2691090985678,11.69524702,12.525638387232254,777,4566.1667009668045,8379,46.537743223366256,2,0,0,0
1,all_other,0.087,317.2691090985678,10.1266311,12.525638387232254,711,2460.0,17304,46.537743223366256,1,0,0,0
