credit.policy,purpose,int.rate,installment,log.annual.inc,dti,fico,days.with.cr.line,revol.bal,revol.util,inq.last.6mths,delinq.2yrs,pub.rec,not.fully.paid
1.0,debt_consolidation,0.1253,829.1,11.35040654,0.0,687.0,5639.958333,0.0,0.0,0.0,0.0,0.0,0.0
1.0,credit_card,0.1253,228.22,11.08214255,0.0,687.0,2760.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,debt_consolidation,0.1253,317.72,11.00209984,0.0,682.0,3660.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,debt_consolidation,0.1253,162.34,11.00209984,0.0,687.0,3660.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,debt_consolidation,0.1426,102.92,11.29973224,0.0,667.0,3660.0,0.0,39.5,0.0,1.0,0.0,0.0
1.0,credit_card,0.1253,317.72,11.90496755,0.0,687.0,3660.0,50807.0,51.0,0.0,0.0,0.0,0.0
1.0,debt_consolidation,0.1253,317.72,11.00209984,0.0,667.0,3660.0,3839.0,0.0,0.0,0.0,1.0,1.0
1.0,all_other,0.1253,131.22,11.00209984,0.0,722.0,3660.0,24220.0,0.0,0.0,0.0,0.0,0.0
1.0,home_improvement,0.1253,317.72,11.00209984,17.25,682.0,3989.0,69909.0,51.1,1.0,0.0,0.0,0.0
1.0,debt_consolidation,0.1221,84.12,11.00209984,0.0,707.0,3660.0,0.0,23.0,1.0,0.0,0.0,0.0
1.0,debt_consolidation,0.1347,360.43,10.4341158,22.09,677.0,3660.0,0.0,71.0,0.0,0.0,0.0,0.0
1.0,debt_consolidation,0.1253,253.58,11.83500896,0.0,662.0,4298.0,0.0,18.2,2.0,1.0,0.0,0.0
1.0,debt_consolidation,0.1253,316.11,10.93310697,15.49,687.0,3660.0,6068.0,0.0,0.0,0.0,0.0,0.0
1.0,debt_consolidation,0.1253,317.72,11.51292546,6.5,747.0,3660.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,debt_consolidation,0.0863,209.54,9.487972109,9.73,727.0,1559.958333,0.0,0.0,0.0,0.0,0.0,0.0
1.0,major_purchase,0.1253,327.53,11.00209984,13.04,702.0,8159.958333,0.0,53.4,0.0,0.0,0.0,0.0
1.0,all_other,0.1253,77.69,11.00209984,2.26,672.0,3660.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,credit_card,0.1253,476.58,11.00209984,7.07,687.0,6510.958333,7586.0,0.0,1.0,0.0,0.0,0.0
1.0,debt_consolidation,0.1253,317.72,11.00209984,0.0,687.0,2760.0,8311.0,59.8,0.0,0.0,0.0,0.0
1.0,debt_consolidation,0.1513,317.72,11.00209984,2.74,667.0,3660.0,591.0,84.4,3.0,0.0,0.0,0.0
1.0,debt_consolidation,0.1253,317.72,11.22524339,16.08,772.0,4888.958333,0.0,23.2,1.0,0.0,0.0,0.0
1.0,all_other,0.0863,474.42,11.00209984,2.59,797.0,3660.0,5656.0,27.6,0.0,0.0,0.0,0.0
1.0,debt_consolidation,0.1253,317.72,11.51292546,7.94,687.0,1939.958333,0.0,0.0,0.0,0.0,0.0,0.0
1.0,debt_consolidation,0.1253,317.72,11.73606902,7.05,782.0,5640.041667,0.0,34.6,1.0,0.0,0.0,0.0
1.0,debt_consolidation,0.1229,320.19,11.26446411,8.8,672.0,3660.0,4822.0,0.0,0.0,0.0,1.0,0.0
1.0,all_other,0.0901,317.72,11.00209984,10.0,712.0,1553.958333,0.0,36.6,0.0,2.0,0.0,0.0
1.0,debt_consolidation,0.1253,155.38,11.08214255,0.28,802.0,3660.0,1576.0,5.7,1.0,0.0,0.0,0.0
1.0,debt_consolidation,0.1375,317.72,9.998797732,14.29,662.0,1318.958333,4175.0,0.0,0.0,0.0,0.0,0.0
