credit.policy,purpose,int.rate,installment,log.annual.inc,dti,fico,days.with.cr.line,revol.bal,revol.util,inq.last.6mths,delinq.2yrs,pub.rec,not.fully.paid
,,0.1189,,,,737.0,,,52.1,0.0,,0.0,
1.0,credit_card,,228.22,,,,,,,,0.0,0.0,0.0
,debt_consolidation,,366.86,,11.63,682.0,4710.0,3511.0,25.6,1.0,,,0.0
1.0,debt_consolidation,0.1008,162.34,,,712.0,2699.958333,33667.0,,,,,
1.0,,,,11.29973224,,,4066.0,4740.0,,0.0,,,
,,0.0788,,11.90496755,16.98,727.0,,50807.0,51.0,0.0,,,
1.0,debt_consolidation,0.1496,194.02,10.71441777,4.0,667.0,,3839.0,76.8,0.0,,,1.0
1.0,,,,,,722.0,5116.0,24220.0,,0.0,,0.0,1.0
1.0,,,,,17.25,682.0,,69909.0,,1.0,0.0,0.0,
1.0,,,84.12,,10.0,,2730.041667,,23.0,1.0,0.0,,0.0
,debt_consolidation,,360.43,10.4341158,22.09,677.0,6713.041667,13846.0,,2.0,0.0,,
,debt_consolidation,,253.58,11.83500896,9.16,,4298.0,,,,,,
1.0,,,,,15.49,,6519.958333,6068.0,,,,0.0,
,,,,,,,,3021.0,,,1.0,,0.0
1.0,debt_consolidation,0.0863,209.54,9.487972109,,727.0,1559.958333,6282.0,44.6,,0.0,0.0,
,major_purchase,,327.53,10.73891524,,702.0,8159.958333,,,,,0.0,0.0
,,0.1317,,,,672.0,3895.958333,2211.0,88.4,,,0.0,0.0
1.0,credit_card,,476.58,11.60823564,7.07,797.0,,7586.0,52.7,1.0,0.0,0.0,
,,,584.12,10.49127422,3.8,,,,,0.0,,,0.0
,major_purchase,0.1513,,,2.74,667.0,,591.0,84.4,,0.0,,
,,,188.02,,,,,,23.2,,,,
1.0,,0.0863,474.42,10.81977828,,,11951.0,,27.6,,0.0,0.0,
,credit_card,0.1355,339.6,,,,,21162.0,,0.0,,0.0,0.0
,credit_card,0.0788,,11.73606902,7.05,782.0,5640.041667,16931.0,34.6,1.0,,0.0,
,debt_consolidation,0.1229,320.19,11.26446411,,672.0,3760.958333,,,0.0,,,
1.0,,0.0901,159.03,12.4292162,10.0,712.0,,,36.6,0.0,2.0,0.0,0.0
,,0.0743,,11.08214255,,802.0,,1576.0,5.7,,0.0,,0.0
,debt_consolidation,,,,14.29,,,4175.0,51.5,,1.0,0.0,
1.0,all_other,0.0743,,,0.28,,4516.958333,3164.0,,0.0,,,
,all_other,,,12.20607265,3.72,812.0,,85607.0,0.7,0.0,0.0,0.0,0.0
,debt_consolidation,0.0807,156.84,,2.3,742.0,,,19.4,,0.0,,
,credit_card,0.1028,,9.798127037,6.4,692.0,,,,,,,0.0
1.0,home_improvement,,,,,777.0,,6053.0,,0.0,,0.0,0.0
,,0.0807,,11.60823564,,,,,,0.0,0.0,,
1.0,credit_card,,158.3,11.22524339,15.55,757.0,,,23.0,0.0,0.0,,
1.0,,,,,,,,3660.0,6.8,,0.0,0.0,0.0
,,,,11.35040654,0.31,787.0,3540.0,,0.6,0.0,,,0.0
,,0.1122,,,1.21,672.0,,27185.0,16.1,3.0,0.0,,0.0
,debt_consolidation,,161.25,10.77895629,8.03,707.0,,,48.6,1.0,,,
1.0,home_improvement,0.0933,159.77,,,717.0,4498.958333,60568.0,,1.0,0.0,0.0,
,,,156.84,,,,4019.0,,26.3,,0.0,0.0,0.0
1.0,,0.0743,,,2.29,777.0,3540.0,8379.0,16.9,,0.0,,0.0
1.0,small_business,,,,14.54,,2460.0,3660.0,7.8,1.0,0.0,0.0,
,,,97.2,,,677.0,,,0.0,0.0,1.0,,
,credit_card,,164.23,,,702.0,,15840.0,,0.0,,0.0,0.0
1.0,credit_card,0.0838,,11.21182037,14.37,,,6844.0,,0.0,0.0,0.0,0.0
,educational,0.0775,168.6,,,,6659.958333,1321.0,16.5,0.0,0.0,0.0,
1.0,all_other,,160.72,10.37349118,14.78,772.0,,4737.0,23.9,0.0,0.0,,0.0
,,0.0901,159.03,,9.96,722.0,3089.958333,23489.0,37.6,,,0.0,
1.0,,,178.69,11.73606902,0.27,,7488.958333,2817.0,10.2,0.0,0.0,,
1.0,credit_card,0.0743,,10.71441777,1.12,782.0,5807.0,1783.0,0.0,1.0,0.0,0.0,0.0
,,,,10.217422,,,1379.0,,,,0.0,0.0,0.0
,small_business,,,10.77895629,,762.0,,,,,0.0,,0.0
,educational,0.0996,,9.510444964,,712.0,1649.958333,2864.0,,1.0,0.0,0.0,
,,0.1596,94.88,,,627.0,,3075.0,,1.0,0.0,0.0,0.0
1.0,,0.1059,,,,,,,,2.0,,0.0,0.0
1.0,,,,,,662.0,1139.0,1153.0,,,0.0,0.0,0.0
1.0,,,,11.88448902,,682.0,4209.958333,41674.0,,0.0,0.0,0.0,
1.0,,,,,,,,,93.4,,0.0,0.0,
1.0,,,205.45,,,,,,69.3,0.0,,,
1.0,,,,11.08214255,7.14,,8730.0,11868.0,71.9,,,,0.0
,,0.0743,155.38,10.59663473,2.55,,,2562.0,14.0,2.0,0.0,,
1.0,,,,9.903487553,1.5,,,1882.0,,0.0,,0.0,
1.0,debt_consolidation,0.1186,,10.49551521,7.47,667.0,2550.0,,70.9,2.0,,1.0,0.0
1.0,credit_card,0.0807,,11.49272276,,,4979.958333,6432.0,6.0,0.0,,0.0,
1.0,,,,,,687.0,,,,,,,
,all_other,0.0996,,,,702.0,4979.958333,,20.5,,1.0,0.0,
,debt_consolidation,,160.51,,,712.0,,20969.0,,0.0,,0.0,
,,0.1375,,,17.38,707.0,2699.958333,,,0.0,0.0,0.0,
