credit.policy,purpose,int.rate,installment,log.annual.inc,dti,fico,days.with.cr.line,revol.bal,revol.util,inq.last.6mths,delinq.2yrs,pub.rec,not.fully.paid
0.0,,,451.48,11.26446411,29.28,,,,,3.0,0.0,,
1.0,,,,,,677.0,,,,3.0,,,1.0
1.0,credit_card,,509.53,11.30220443,,,4770.0,,1.1,,1.0,0.0,1.0
1.0,,,188.27,10.30895266,,,4139.958333,,,,0.0,0.0,1.0
,,0.1496,,,24.99,,,53896.0,,0.0,0.0,0.0,0.0
,,0.1287,538.14,,,,,,,,0.0,,0.0
1.0,,0.0894,57.19,10.53209621,21.54,,,,32.3,,,,0.0
0.0,debt_consolidation,0.1197,199.2,10.77895629,15.38,677.0,,4956.0,,,0.0,0.0,
0.0,all_other,0.1475,103.63,,5.23,,,2060.0,12.7,0.0,,0.0,0.0
1.0,,,,,17.42,,,,16.4,0.0,,,
,debt_consolidation,,662.68,11.33857208,,,6240.041667,8156.0,22.0,,,0.0,0.0
0.0,all_other,0.1126,,11.21182037,,,,260.0,,,0.0,,0.0
,,0.0774,109.27,,,767.0,,,,,0.0,0.0,
,debt_consolidation,0.0932,,11.40756495,8.51,782.0,4230.0,9957.0,29.6,,,,0.0
0.0,,0.1533,332.6,,,,5009.958333,,,5.0,,0.0,
,,0.1218,807.53,,,742.0,,81940.0,,0.0,0.0,0.0,
1.0,debt_consolidation,0.1461,330.97,10.6454249,,672.0,,,,,,,
,,0.08,,11.21182037,,,,23891.0,19.3,,0.0,0.0,
1.0,,0.1114,,11.09741002,,737.0,5162.0,,,,0.0,,0.0
1.0,debt_consolidation,,482.66,,16.89,687.0,2250.0,,87.4,,0.0,0.0,
1.0,,0.1209,199.55,11.3224427,18.06,,3030.041667,,87.1,,0.0,,0.0
,,0.08,188.02,10.18490001,12.14,,2040.041667,,5.5,0.0,,,0.0
0.0,,0.1261,,,,662.0,,,91.1,11.0,0.0,0.0,0.0
0.0,,,175.79,11.26070062,,,3810.0,6632.0,26.8,,,1.0,0.0
,credit_card,0.0859,189.67,10.18111929,,,5430.0,6435.0,19.0,,,0.0,0.0
1.0,,0.0743,124.3,11.04292184,5.82,772.0,,773.0,,0.0,,0.0,0.0
,,,51.4,10.37972173,,642.0,,0.0,,,,0.0,0.0
