credit.policy,purpose,int.rate,installment,log.annual.inc,dti,fico,days.with.cr.line,revol.bal,revol.util,inq.last.6mths,delinq.2yrs,pub.rec,not.fully.paid
1.0,debt_consolidation,0.1189,,11.35040654,,737.0,5639.958333,28854.0,52.1,,0.0,,
1.0,,,,,14.29,,,,76.7,0.0,0.0,0.0,0.0
1.0,debt_consolidation,,,,11.63,,4710.0,,,1.0,0.0,0.0,0.0
1.0,debt_consolidation,,162.34,11.35040654,8.1,712.0,,33667.0,73.2,1.0,0.0,0.0,0.0
,,0.1426,102.92,11.29973224,14.97,667.0,4066.0,,39.5,0.0,1.0,0.0,0.0
1.0,,0.0788,125.13,11.90496755,16.98,,6120.041667,50807.0,51.0,,0.0,0.0,
1.0,debt_consolidation,0.1496,194.02,,,667.0,3180.041667,3839.0,76.8,0.0,,1.0,1.0
1.0,,0.1114,131.22,11.00209984,,,5116.0,,68.6,0.0,0.0,0.0,1.0
1.0,home_improvement,0.1134,87.19,11.40756495,17.25,682.0,,69909.0,51.1,1.0,,,0.0
,debt_consolidation,,,,10.0,707.0,2730.041667,5630.0,,1.0,,,0.0
,,0.1347,360.43,10.4341158,22.09,,6713.041667,,71.0,2.0,0.0,,
1.0,,0.1324,253.58,11.83500896,9.16,662.0,,5122.0,,2.0,1.0,,0.0
,,,,10.93310697,15.49,767.0,6519.958333,6068.0,16.7,0.0,,,
,small_business,,,11.51292546,,,4384.0,3021.0,4.8,,,0.0,0.0
,debt_consolidation,0.0863,209.54,,9.73,,,6282.0,,,,0.0,0.0
1.0,major_purchase,0.1103,327.53,,13.04,,8159.958333,5394.0,,1.0,,0.0,0.0
,,,,10.52277288,,672.0,3895.958333,,,0.0,0.0,0.0,0.0
,,0.0894,476.58,,,,6510.958333,,52.7,,0.0,0.0,0.0
1.0,debt_consolidation,,,10.49127422,3.8,,2760.0,8311.0,59.8,0.0,0.0,0.0,0.0
1.0,major_purchase,,173.65,11.00209984,2.74,,,,84.4,3.0,,,
,all_other,0.08,188.02,,16.08,772.0,4888.958333,,,,0.0,0.0,
1.0,all_other,0.0863,474.42,10.81977828,,797.0,11951.0,5656.0,,,0.0,0.0,0.0
1.0,,0.1355,,11.51292546,7.94,662.0,,21162.0,,0.0,0.0,,
,credit_card,0.0788,484.85,,7.05,782.0,,,34.6,,,,0.0
,debt_consolidation,0.1229,320.19,,8.8,672.0,3760.958333,,58.1,,,,0.0
,,0.0901,159.03,12.4292162,,,,14354.0,,,2.0,0.0,0.0
1.0,,0.0743,,,,802.0,4649.958333,1576.0,5.7,,0.0,0.0,
,,,255.43,9.998797732,14.29,662.0,,4175.0,51.5,0.0,,,
,,,155.38,12.20607265,0.28,772.0,,3164.0,13.7,,0.0,0.0,0.0
1.0,all_other,0.0743,155.38,12.20607265,,,,85607.0,,,0.0,0.0,0.0
1.0,debt_consolidation,,156.84,,2.3,742.0,3148.958333,9698.0,19.4,0.0,,,
,,,275.38,9.798127037,6.4,,7469.958333,8847.0,26.9,,1.0,0.0,0.0
,home_improvement,0.0743,,11.91839057,0.0,777.0,,6053.0,,0.0,,,0.0
1.0,home_improvement,,78.42,11.60823564,,762.0,6059.958333,7274.0,,,0.0,0.0,0.0
1.0,credit_card,,,11.22524339,15.55,,4770.0,66033.0,,0.0,0.0,0.0,0.0
1.0,,,155.38,11.46163217,,,2535.0,,6.8,0.0,,0.0,
