Mean_Integrated,SD,EK,Skewness,Mean_DMSNR_Curve,SD_DMSNR_Curve,EK_DMSNR_Curve,Skewness_DMSNR_Curve,Class
102.2890625,45.75907566,,0.227156434,,,9.500368299,117.0577236,0.0
120.09375,,0.152884958,-0.395775757,3.33361204,19.67426822,7.962004044,73.62506345,
108.8203125,58.01595061,0.396478925,,,19.4694241,9.30173415,94.65563698,0.0
137.0859375,,0.004315666,-0.139897478,1.691471572,11.53318438,12.52337909,,0.0
,,0.543588573,0.940103291,0.820234114,10.19305088,,369.8416015,0.0
143.875,49.73932046,-0.126228394,-0.173520147,,16.54898965,7.151597657,67.25291793,0.0
28.609375,29.97505066,,,29.71153846,,,4.41086239,1.0
122.4765625,,0.336240078,0.406259594,1.085284281,11.99725794,14.30182339,239.4584177,0.0
101.1171875,41.31616306,0.479362452,0.741283898,,,10.6259377,133.3175404,
124.4296875,41.08274493,-0.069510812,0.47208847,2.183110368,13.36792506,10.50906048,,0.0
128.765625,52.27548487,-0.109025359,-0.432126478,2.178093645,,10.334213,118.0006578,
89.3046875,50.00899272,0.512633112,0.50293573,3.846989967,24.29602482,,49.77483619,0.0
119.9609375,,-0.007230668,-0.551288359,,12.60575026,11.64862912,,
132.59375,45.08350542,-0.007378934,,2.651337793,18.96012379,8.554398205,81.95998741,0.0
113.2265625,51.88331482,,,2.699832776,,8.541856461,87.01178401,0.0
,50.04930918,,-0.124106157,1.836956522,11.90237626,,,0.0
131.1796875,,0.117783503,,,17.04058597,8.466883809,,0.0
87.7421875,39.16636114,0.769394292,1.934860072,5.512541806,28.62949242,5.811543823,35.09681593,0.0
124.421875,55.32766168,,,2.005852843,14.90709689,9.897932299,,0.0
121.6875,45.10417629,0.387904522,0.243706926,1.595317726,11.10914737,13.15098611,245.1662455,
132.1484375,,-0.089447443,-0.0189829,56.78511706,85.0518029,0.96479958,-0.859262021,0.0
39.6484375,52.8063369,2.081382551,3.389052512,142.9841137,56.76470165,-0.458445467,-0.045531641,1.0
139.2109375,45.74054758,-0.002916084,,2.20819398,13.41189383,,127.1719674,0.0
136.5546875,,-0.222934778,-0.216629665,,32.983577,,22.66344592,
106.3671875,,0.59113625,,,,12.68935727,175.7387166,0.0
58.5625,49.37084634,2.466237711,5.826625538,29.47073579,,,2.520671988,
103.9921875,42.93335972,0.045787826,0.665457146,1.362876254,,,206.3166744,
136.71875,,-0.141710744,-0.334110847,,,12.38480336,,0.0
128.796875,41.4405371,-0.066360598,0.399443202,2.730769231,15.75298739,8.31660621,88.36697394,
96.546875,,1.128441314,2.58304544,,87.97220528,,-1.546453911,1.0
126.1484375,,,-0.477203193,3.12541806,23.00376564,8.136346013,,0.0
,41.91867985,1.75397988,,15.6312709,,,11.15601343,1.0
48.8203125,29.01304491,4.544461499,28.20759772,39.93896321,71.3074186,1.734677186,1.736682233,1.0
125.8046875,53.8294556,-0.085492855,-0.604316047,2.930602007,16.25670019,,,
130.7109375,50.21285199,0.05999588,,8.845317726,36.03454752,4.137568149,16.29173167,
129.6171875,43.90510383,0.066045936,-0.002689519,5.132943144,,6.116694586,38.31655117,0.0
101.703125,37.77200505,,1.401315104,1.897993311,,10.47358451,129.8577561,0.0
107.3359375,49.75192794,0.138212658,0.043647991,10.97909699,,3.610894509,11.84466437,
98.8828125,32.15723604,0.727634374,3.574171074,,19.96091618,,77.11665748,0.0
122.5703125,,0.182604812,,1.201505017,14.65593232,13.19741138,,0.0
113.0,52.7206672,0.25406438,0.013982403,2.987458194,18.92934433,8.020098696,,
120.3671875,56.46969197,0.171459088,-0.272106245,,14.91290798,,,0.0
132.59375,47.00655498,-0.030834766,,3.079431438,15.86558965,,81.296462,0.0
,46.47096445,,0.2614395,1.628762542,15.56374234,10.71729783,125.4148119,0.0
100.40625,,,0.215466608,1.923913043,,10.63997739,142.5278152,
,43.91446765,0.552936762,0.87291316,2.517558528,14.53431619,8.575758023,,0.0
123.2734375,52.28851972,0.250988771,-0.141899495,,18.1845367,7.866694578,76.32354359,0.0
,,0.14080605,-0.002355085,,15.38310075,9.5392993,,0.0
113.1171875,47.34722489,0.230998641,0.134152129,1.799331104,16.17080236,10.37532035,118.131919,0.0
123.1953125,,,-0.409028356,3.83361204,,8.072724098,73.63256983,0.0
77.0234375,44.50675244,1.268602281,2.605826138,7.808528428,,,26.51027772,
111.1171875,,0.35900296,0.077005281,2.275083612,14.05937295,9.571366585,121.543941,0.0
,47.57773245,0.445925347,0.280739631,7.132107023,34.76232159,,26.39747056,0.0
,42.38616922,0.569365867,1.260704131,2.323578595,16.29134245,8.747194888,90.35900597,0.0
133.4609375,59.67946966,0.059058951,-0.673722992,37.20986622,57.63496828,1.286479027,,
133.4453125,,,,2.609531773,18.54598937,8.558973507,82.20514812,0.0
129.6015625,47.70454968,,,2.065217391,16.80407741,9.894397637,,0.0
128.625,58.58594115,,,,19.41046465,7.221243111,60.92128451,0.0
100.9765625,43.2256913,0.302312855,0.515795646,6.659698997,32.01672454,5.384701738,30.19260845,
125.5859375,59.44200526,-0.058882902,-0.617628015,,20.2909043,,77.56617247,0.0
118.0859375,54.75399919,,-0.547193829,,,,225.0461348,0.0
,55.93934835,0.247771206,-0.567735327,3.72909699,19.06037379,6.928083183,57.48601224,
147.7109375,49.40238993,-0.122558189,,,28.22782571,5.637392457,33.2680031,
7.4609375,30.83268921,6.353851274,41.47422668,,,-0.43213181,,1.0
115.703125,44.59791884,,0.449712977,4.137123746,,6.549416739,48.13909404,
114.171875,54.53054038,,-0.462330608,3.151337793,,7.811673579,77.48928504,0.0
105.0859375,,0.337881842,0.767485927,2.246655518,12.83853407,9.953717198,,0.0
112.0234375,48.57974514,0.200419736,,2.464882943,20.99588917,9.665685178,,0.0
,35.2929668,0.637397745,2.816726796,1.455685619,11.35158157,,229.8486463,0.0
,51.13836391,,0.007114971,1.885451505,,,172.6584757,0.0
,45.0633445,0.393423849,0.185964777,2.836120401,19.77418251,8.091847214,71.86328685,0.0
117.8984375,,0.176729681,,2.592809365,17.37542132,8.90008164,91.19983744,
117.75,43.04757543,-0.035055242,0.544146454,2.397157191,,,115.2360354,0.0
115.3125,45.55384005,0.079757913,,2.734113712,,8.629467207,,
128.96875,,,,,15.0568873,10.82796659,142.8532914,0.0
128.9453125,56.73310715,0.091415946,-0.347716719,1.68812709,16.17449454,,131.5313897,0.0
130.3046875,51.3378148,,-0.182523754,14.10033445,,3.343949922,10.09427275,0.0
108.375,37.24643439,0.487721698,2.366852373,,,16.58086024,348.1311185,0.0
,33.80759607,2.382131399,10.54549866,,55.74309414,2.993356094,7.536158187,1.0
,49.88722083,0.523248881,0.158255082,6.998327759,34.08507942,,,
,,-0.06969395,0.456036796,2.118729097,,9.877426366,106.9093596,
105.328125,47.6964866,0.239106432,-0.25680706,,15.11733673,9.07858572,104.5313345,0.0
115.4609375,,,,2.0,12.39646082,10.66346929,164.8802552,0.0
,48.80359571,,0.031535814,4.260869565,26.40402904,,50.25393304,0.0
111.1796875,44.68928031,0.405519639,,3.869565217,20.95407568,7.467000952,63.18912392,0.0
80.7109375,33.32138773,0.772565605,4.676234913,1.510033445,13.35785063,12.16840357,,
138.1171875,42.11769616,0.013557085,0.178572715,1.265050167,11.79163367,13.18783416,,0.0
,37.43707937,3.789654194,,37.30434783,,1.726342662,2.207774532,1.0
,58.63953836,0.291528053,-0.511846368,,58.52975015,,2.508814221,
111.015625,44.68238334,0.077302166,0.053498516,2.589464883,20.08825484,,92.71740185,0.0
,47.96287054,,0.058516857,1.515050167,14.00527639,,168.6353251,
88.125,43.39480816,0.516225516,0.998225616,3.25083612,19.63404211,7.699762609,69.01980595,
,43.22691479,0.273002423,0.71521169,0.81270903,,16.51389361,308.0241484,0.0
139.4375,49.8928148,-0.019055154,-0.259222218,,17.95088033,9.9666939,108.934545,0.0
,44.67088579,0.284449078,,2.62541806,18.37377137,7.975588115,71.18472639,0.0
125.171875,52.30635558,0.056571872,-0.360770123,2.132107023,12.44563855,10.251278,158.1902038,
122.921875,41.96419779,0.085435358,0.809268389,2.02173913,,10.17836565,,0.0
118.6171875,,0.442851588,0.15853158,,11.84317332,,209.9235135,0.0
124.421875,41.38606525,0.249883793,0.58879449,3.769230769,22.39233452,,57.81487641,0.0
104.1640625,49.92271798,0.480334767,,1.652173913,17.49661468,11.36515728,133.6004542,0.0
91.1875,44.70209552,0.305569526,0.654165712,1.614548495,10.75344336,,271.7740999,0.0
95.5859375,,0.601863919,0.350969998,,14.13058763,11.61631151,,0.0
44.796875,30.17303209,4.735203756,,30.69314381,61.82819804,,,
,34.46403154,,2.619977976,4.038461538,,6.919616448,,0.0
61.5859375,41.06787966,2.18369337,6.679820259,26.76003344,,2.378670462,,1.0
,54.86008871,0.413170651,-0.299531143,3.111204013,16.19333986,8.214020315,,0.0
,,0.319073369,0.413472398,,36.08763634,3.94382155,14.88044046,0.0
103.3828125,52.84826764,,-0.162115662,1.775083612,,,,0.0
,,0.380268104,0.154963068,30.83361204,65.21619493,,1.73714992,0.0
92.859375,,0.701793872,1.171628854,1.308528428,11.00680669,13.88530203,,0.0
117.6953125,,0.111360296,,3.345317726,20.66350053,,85.27751693,0.0
,46.45295156,0.210063069,-0.051460114,1.74916388,,,121.9967441,0.0
,,0.159820293,1.134151128,4.081103679,24.84320619,7.212596737,,0.0
,51.59954103,0.103404528,-0.376820445,3.307692308,,,,0.0
,45.05692743,0.08528079,0.096047661,1.903010033,17.23967262,,120.0422756,0.0
122.96875,41.19237215,,0.524186046,4.257525084,,,49.18366117,0.0
,49.68141607,,,,39.802608,4.365747313,18.34004577,0.0
102.2265625,42.64519588,0.163857523,0.220791754,2.06270903,15.19291489,10.18245963,125.2440986,0.0
,56.61112378,-0.067140647,,9.703177258,40.6488514,4.239631927,17.07840094,
118.671875,48.90250335,0.482795099,0.272176145,3.245819398,17.13368958,,63.97214716,
,51.15969321,-0.231328651,,11.97491639,,3.54300686,11.44845749,0.0
